Year,Title,Country,Director,Studio,Animation technique,Notes,Type,Release date,Duration
2015,3 Bahadur,Pakistan,Sharmeen Obaid Chinoy,Waadi Animations,CG animation,[ 1 ],,"May 22, 2015 (Pakistan) November 13, 2015 (Worldwide)",94 minutes
2015,10000 Years Later 天籁之一萬年以后,China,Yi Li,,CG animation,[ 2 ],,"March 27, 2015",93 minutes
2015,A Jewish Girl in Shanghai: The Mystery of the Necklace,China,Guanghua Yao,,Traditional,[ 3 ],,"August 28, 2015",83 minutes
2015,A Tale From The Orient 天眼传奇,China,"Chih-Chung Tsai, Daniel Ming-Chin Tsai",Zhejiang Zhongnan Animation Co.,Traditional,[ 4 ],,"October 4, 2015",90 minutes
2015,A Warrior's Tail Савва. Сердце воина,Russia,Maxim Fadeev,"Art Pictures Studio , Glukoza Production",CG animation,[ 5 ],,"November 12, 2015 (Russia) March 26, 2016 (United States)",85 Minutes
2015,Adama,France,Simon Rouby,"Pipangai Production, Naia Productions",Traditional / CG animation,[ 6 ],,"June 15, 2015 ( Annecy ) October 21, 2015 (France)",82 minutes
2015,The Adventures of Little Piglet Banna,China,"Ming Zhang, Zhaohui Weng",Zhejiang Huanqin Media,Flash animation,[ 7 ],,"June 27, 2015",90 minutes
2015,Aikatsu! Music Award: Minna de Shō o Moraima SHOW!,Japan,Shinya Watada,,Traditional,[ citation needed ],,"August 23, 2015",56 minutes
2015,Air Bound Gamba: Gamba to Nakama-tachi,Japan,"Tomohiro Kawamura, Yoshihiro Komori","Arad Productions, Grindstone Pictures, Shirogumi, Toei Animation",CG animation,[ 8 ],,"October 10, 2015",92 minutes
2015,Alvin and the Chipmunks: The Road Chip,United States,Walt Becker,20th Century Fox,Live-Action/CGI,Theatrical,,"December 18, 2015",92 minutes
2015,Ajin Part 1: Shōdō,Japan,Hiroaki Ando,Polygon Pictures,CG animation,[ 9 ],,"October 28, 2015 ( TIFF ) November 27, 2015 (Japan)",106 minutes
2015,Albert Albert,Denmark,Karsten Kiilerich,"M&M Productions, A. Film",CG animation,[ 10 ],,"February 26, 2015",70 minutes
2015,Alibaba and the Thief 阿里巴巴：大盗奇兵,China,Zheng Chengfeng,,CG animation,[ 11 ],,"May 23, 2015",80 minutes
2015,Alpha and Omega: Family Vacation,United States Canada,Richard Rich,Lionsgate Crest Animation Productions,CG Animation,,Direct-to-video,"August 4, 2015",45 minutes
