Year,Title,Country,Director,Studio,Animation technique,Notes,Type,Release date,Duration
2013,Adventure at Flaming Mountains,China,,,Traditional,,,"July 19, 2013",85 minutes
2013,Missing U,United States,Brooke Wagstaff,Ringling College of Art and Design,CGI Animation,,Direct to video,13 July 2013,2 minutes 29 seconds
2013,The Adventures of Sinbad,India,Shinjan Neogi Abhishek Panchal,Lodi Films Pvt. Ltd,Traditional,[ 1 ],,"March 22, 2013",110 minutes
2013,Alpha and Omega 2: A Howl-iday Adventure,United States Canada,Richard Rich,Lionsgate Crest Animation Productions,CG Animation,,Direct-to-video,"October 8, 2013",45 minutes
2013,Anina,Uruguay,Alfredo Soderguit [ ca ; es ],Palermo Estudio,Flash animation,,,"February 12, 2013 ( Berlin IFF ) April 19, 2013 (Uruguay)",80 minutes [ 2 ]
2013,Go! Anpanman: Fly! The Handkerchief of Hope [ ja ],Japan,Hiroyuki Yano,"Anpanman Production Committee, TMS Entertainment",Traditional,,,"July 6, 2013",47 minutes
2013,Anohana: The Flower We Saw That Day あの日見た花の名前を僕達はまだ知らない。 (Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai),Japan,Tatsuyuki Nagai,A-1 Pictures,Traditional,[ 3 ],,"August 31, 2013",99 minutes
2013,The Art of Happiness,Italy,Alessandro Rak,Big Sur Mad Entertainment Mai Cinema,Traditional,,,"August 28, 2013 ( Venice ) November 21, 2013 (Italy)",82 minutes
2013,Asphalt Watches,Canada,Shane Ehman Seth Scriver,Delusional Brothers,Flash animation,,,"September 10, 2013 (TIFF)",94 minutes
2013,Aura: Maryūinkōga Saigo no Tatakai,Japan,Seiji Kishi,AIC,Traditional,[ 4 ],,"April 13, 2013",83 minutes
2013,Axel: The Biggest Little Hero Bonta,China,Leo Lee,Zhejiang Versatile,CG animation,,,"August 2, 2013",80 minutes
2013,Aya of Yop City Aya de Yopougon,France,"Marguerite Abouet, Clement Oubrerie",Autochenille Production,Traditional,[ 5 ],,"July 17, 2013",84 minutes
2013,Ayas,Turkey,"Hüseyin Emre Konyalı, Mustafa Tuğrul Tiryaki",Düşyeri Animation Studios,CG animation,[ 6 ],,"November 22, 2013",82 minutes
2013,Barbie & Her Sisters in A Pony Tale,United States,Kyran Kelly,Universal Studios Arc Productions Rainmaker Studios,CGI animation,,,"October 22, 2013",72 minutes
2013,Barbie: Mariposa & the Fairy Princess,United States,William Lau,Universal Studios Arc Productions Rainmaker Studios,CGI animation,,,"August 27, 2013",75 minutes
2013,Barbie in the Pink Shoes,United States,Owen Hurley,Universal Studios Arc Productions Rainmaker Studios,CGI animation,,,"February 26, 2013",72 minutes
2013,Batman: The Dark Knight Returns – Part 2,United States,Jay Oliva,Warner Bros. Animation,Traditional,[ 7 ],Direct-to-video,"January 29, 2013 (Part 2)",76 minutes (Part 2)
2013,Bayonetta: Bloody Fate,Japan,Fuminori Kizaki,Gonzo,Traditional,,,"November 23, 2013",91 minutes
2013,A Beating Heart and Cracked Ceiling,United States,Cora Clifford,,Traditional,,,"December 9, 2013",78 minutes
