Year,Title,Country,Director,Studio,Animation technique,Notes,Type,Release date,Duration
2013,Berserk Golden Age Arc III: The Advent,Japan,Toshiyuki Kubooka,Studio 4 °C,Traditional,[ 8 ],,"February 1, 2013",113 minutes
2013,Bold Eagles Pelle Politibil på sporet,Norway,Rasmus A. Sivertsen,Neofilm AS,CG animation,[ 9 ] [ 10 ],,"March 3, 2013",82 minutes
2013,Bratz: Go to Paris the Movie,United States,Mucci Fassett,MGA Entertainment,CG animation,,Direct-to-DVD,"October 8, 2013",61 minutes
2013,A Certain Magical Index: The Movie – The Miracle of Endymion,Japan,Hiroshi Nishikori,J.C. Staff,Traditional,[ 11 ],,"February 23, 2013",90 minutes [ 12 ]
2013,The Charge,China,,,Traditional,,,,
2013,Cheatin',United States,Bill Plympton,Plymptoons,Traditional,,,"October 11, 2013 (Sitges) August 15, 2014",76 minutes
2013,Cheech & Chong's Animated Movie,United States,"Branden Chambers, Eric D. Chambers",Houston Curtis Productions Chamber Bros. Entertainment,Flash animation,,,"March 18, 2013",83 minutes
2013,Chhota Bheem and the Throne of Bali,India,Rajiv Chilaka,Green Gold Animation,Traditional,[ 13 ] [1],,"May 3, 2013",107 minutes [ 14 ]
2013,Cloudy with a Chance of Meatballs 2,United States,"Cody Cameron , Kris Pearn",Sony Pictures Animation,CGI animation,Sequel to Cloudy with a Chance of Meatballs (2009).,Theatrical,"September 27, 2013",95 minutes [ 15 ]
2013,The Congress,France Israel Belgium Poland Luxembourg Germany,Ari Folman,Pandora Filmproduktion ARP Sélection (France) [ 16 ] Cinéart (Belgium/Luxembourg) [ 17 ] Pandora Film Verleih (Germany) [ 18 ] Gutek Film (Poland) [ 19 ],Traditional/Live-action,,,"May 15, 2013 ( Cannes ) July 3, 2013 (France)",123 minutes [ 20 ]
2013,Crayon Shin-chan: Stupid Horse!: B-class Gourmet Survival,Japan,Masakazu Hashimoto [ fr ; ja ; ko ; zh ],Shin-Ei Animation,Traditional,,,"April 20, 2013",96 minutes
2013,The Croods,United States,"Chris Sanders , Kirk DeMicco",DreamWorks Animation,CGI animation,,Theatrical,"February 15, 2013 ( Berlin ) March 22, 2013 (United States)",98 minutes [ 21 ]
2013,Ctyrlístek ve sluzbách krále [ cs ],Czech Republic,Michal Zabka [ cs ],,CG animation,,,"February 28, 2013 (Czech) October 16, 2013 (DVD premiere)",90 minutes
2013,Death & the Robot,United States,Austin Taylor,University of North Carolina School of the Arts,Stop Motion,[ 22 ],,"May 9, 2013",11 minutes
2013,Despicable Me 2,United States,"Pierre Coffin , Chris Renaud","Illumination Entertainment , Universal Pictures",CGI animation,[ 23 ],Theatrical,"June 5, 2013 (Australia) July 3, 2013 (United States)",98 minutes [ 24 ]
2013,Detective Conan: Private Eye in the Distant Sea,Japan,Kobun Shizuno,TMS Entertainment,Traditional,,,"April 20, 2013",101 minutes
2013,Dick Figures: The Movie,United States,"Ed Skudder, Zack Keller","Six Point Harness , Mondo Media , Remochoso",Flash animation,This was the first animated feature film to be released on the Internet.,[ 25 ],"September 17, 2013 (United States) November 9, 2013 (Buffer Festival)",73 minutes
2013,Doraemon: Nobita no Himitsu Dōgu Museum,Japan,Yukiyo Teramoto,Shin-Ei Animation,Traditional,[ 26 ],,"March 9, 2013",104 minutes
2013,Dragon Ball Z: Battle of Gods,Japan,Masahiro Hosoda,Toei Animation,Traditional animation,[ 27 ],,"March 30, 2013",85 minutes (theatrical) 105 minutes (Special Edition)
2013,Dragon Guardians El corazón del roble,Spain,"Ángel Izquierdo, Ricardo Ramón",Barton Films / Canal Sur Televisión / Dibulitoon Studio / Euskal Irrati Telebista (EiTB) / Milimetros Dibujos Animados,CG animation,,,"January 18, 2013 (Spain) September 20, 2013 (Donostia-San Sebastián International Film Festival)",73 minutes
2013,Epic,United States,Chris Wedge,"20th Century Fox , 20th Century Fox Animation , Blue Sky Studios",CGI animation,[ 28 ],Theatrical,"May 16, 2013 (International) May 18, 2013 ( Ziegfeld Theatre ) May 24, 2013 (United States)",102 minutes [ 29 ]
2013,Escape from Planet Earth,United States Canada,Cal Brunker,Rainmaker Entertainment The Weinstein Company,CG animation,[ 30 ] [ 31 ],,"February 15, 2013",89 minutes [ 32 ] [ 33 ]
2013,El extraordinario viaje de Lucius Dumb [ ca ; cy ; eu ],Spain,Maite Ruiz de Austri,Extra Extremadura de Audiovisuales S.A.,Traditional,,,"December 5, 2013",93 minutes
2013,Extraordinary Tales,Belgium France Luxembourg,Raúl García,"The Big Farm, Melusine Prods",CG animation,[ 34 ],,"February 28, 2013 (Luxembourg City Film Festival) February 2015 (Anima Brussels Animation Film Festival) June 27, 2015 (Munich International Film Festival)",73 minutes
2013,The Fake,South Korea,Yeon Sang-ho,Studio Dada Show,Traditional,,,"September 7, 2013 ( Toronto ) November 21, 2013 (South Korea)",101 minutes
2013,Fernanda and the Strange Case of Dr. X and Mr. Jai Fernanda y el extraño caso del Dr. X y Mr. Jai,Cuba,Mario Rivas,Instituto Cubano del Arte e Industria Cinematográficos,Flash animation,,,"October 20, 2013 [ 35 ]",91 minutes
2013,Free Birds,United States,Jimmy Hayward,Reel FX Animation Studios Relativity Media,CG animation,[ 36 ] [ 37 ] [ 38 ] [ 39 ],,"November 1, 2013",91 minutes [ 40 ]
2013,The Frog Kingdom,China United States,Nelson Shin,Grindstone Entertainment Group Simka Entertainment,CG animation,[ 41 ] [ 42 ],,"December 28, 2013 ( China ) June 30, 2015 ( United States )",90 minutes
2013,Frozen,United States,"Chris Buck , Jennifer Lee",Walt Disney Animation Studios,CGI animation,[ 43 ],Theatrical,"November 19, 2013 ( El Capitan Theatre ) November 22, 2013 (United States) [ 44 ]",102 minutes [ 45 ]
2013,The Garden of Words,Japan,Makoto Shinkai,CoMix Wave Films,Traditional,[ 46 ],,"April 28, 2013 ( Gold Coast ) May 31, 2013 (Japan)",46 minutes
2013,Gekijō-ban Mahō Shōjo Madoka Magica Shinpen: Hangyaku no Monogatari,Japan,Akiyuki Shinbo,Shaft,Traditional,[ 47 ],,"October 26, 2013",116 minutes
2013,Gekijō-ban Tiger & Bunny -The Beginning-,Japan,Yoshitomo Yonetani,Sunrise,Traditional,[ 48 ],,"September 22, 2012 (Japan) November 20, 2013 (DVD premiere)",88 minutes
2013,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,Japan,Yoichi Fujita,Sunrise,Traditional,[ 49 ],,"July 6, 2013",110 minutes
2013,Hakuoki: Wild Dance of Kyoto,Japan,Osamu Yamasaki,Studio Deen,Traditional,[ 50 ],,"August 24, 2013",96 minutes
2013,Hal,Japan,Ryōtarō Makihara,Pony Canyon Production I.G. Wit Studio Shochiku,Traditional,[ 51 ],,"June 8, 2013",60 minutes
2013,Hanasaku Iroha: The Movie – Home Sweet Home,Japan,Masahiro Andō,P.A. Works,Traditional,[ 52 ],,"March 30, 2013",66 minutes
2013,Happy Heroes,China,,,Traditional,,,"June 30, 2013",90 minutes
2013,Happy Little Submarine 3：Rainbow Treasure,China,,,CG animation,,,"June 2, 2013",
2013,Hiroku: Defenders of Gaia,Spain,Saúl Barreto Ramos Manuel González Mauricio,Oasis Europkikara Silverspace Animation Studios Televisión Pública de Canarias See,CG animation,,,"June 28, 2013 (Canary Islands) September 13, 2013 (Spain)",80 minutes
2013,Hocus Pocus Alfie Atkins Hokus pokus Alfons Åberg,Sweden Denmark Norway,Torill Kove,Maipo Film A. Film Production Eyeworks SVT Norsk Filminstitutt Svenska Filminstitutet Det Danske Filminstitut Nordisk Film TV Fond Media,Traditional,[ 53 ],,"August 23, 2013 (Sweden) September 13, 2013 (Norway) December 25, 2013 (Denmark)",76 minutes
2013,The House of Magic,Belgium France,"Ben Stassen, Jérémie Degruson","nWave Digital , StudioCanal",CG animation,,Theatrical,"December 25, 2013",85 minutes
2013,How to Catch a Feather from the Firebird Как поймать перо Жар-Птицы,Russia,Vyacheslav Plotnikov,Inlay Film,Traditional,,,"November 10, 2013",
2013,Hunter × Hunter: Phantom Rouge,Japan,Yūzō Satō,Madhouse,Traditional,[ 54 ],,"January 12, 2013",97 minutes
2013,Hunter × Hunter: The Last Mission,Japan,Keiichiro Kawaguchi,Madhouse,Traditional,[ 55 ] [ 56 ],,"December 27, 2013",98 minutes
2013,Husiti,Czech Republic,Pavel Koutský,,Traditional,,,"November 7, 2013 (Czech) May 3, 2014 (Pilsen Film Festival)",85 minutes
2013,Iron Man & Hulk: Heroes United,United States,"Eric Radomski, Leo Riley","Marvel Animation , Brain Zoo Studios",CG animation,[ 57 ],Direct-to-video,"December 3, 2013 [ 58 ]",71 minutes [ 59 ]
2013,Iron Man: Rise of Technovore,Japan,Hiroshi Hamasaki,Madhouse,Traditional,[ 60 ],Direct-to-video,"April 24, 2013",88 minutes
2013,Ivan Tsarevich and the Gray Wolf 2 Иван Царевич и Серый волк 2,Russia,Vladimir Toropchin,Melnitsa Animation Studio,Traditional,[ 61 ],,"December 26, 2013",73 minutes
2013,Jack and the Cuckoo-Clock Heart Jack et la mécanique du cœur,France,Stéphane Berla Mathias Malzieu,"Walking The Dog, Duran Duboi , Europa Corp. , France 3 Cinéma",CG animation,[ 62 ],,"November 17, 2013 (Arras Film Festival) December 20, 2013 (United States) January 15, 2014 (Mexico) February 5, 2014 (France)",93 minutes
2013,Jasmine,France,Alain Ughetto,Les Films du Tambour de Soie,Clay Animation,,,"June 10, 2013 ( Annecy ) October 30, 2013 (France)",70 minutes
2013,Jay & Silent Bob's Super Groovy Cartoon Movie,United States,Steve Stark,SModcast Pictures View Askew Productions,Flash animation,[ 63 ],,"April 20, 2013",64 minutes
2013,Jungle Master,China,Kerr Xu,Hippo Animation,CG animation,[ 64 ],,"January 19, 2013",90 minutes
2013,Justin and the Knights of Valour Justin y la espada del valor,Spain,Manuel Sicilia,Kandor Graphics,CG animation,[ 65 ],Theatrical,"September 13, 2013 (United Kingdom) September 20, 2013 (Spain)",96 minutes [ 66 ]
2013,The Tale of the Princess Kaguya Kaguya-Hime no Monogatari,Japan,Isao Takahata,Studio Ghibli,Traditional,[ 67 ] [ 68 ],,"November 23, 2013",137 minutes [ 69 ]
2013,Kara no Kyōkai : Mirai Fukuin,Japan,Tomonori Sudou,Ufotable,Traditional,[ 70 ],,"September 28, 2013",32 minutes
2013,No-Eared Bunny and Two-Eared Chick de:Keinohrhase und Zweiohrküken,Germany,Maya Gräfin Rothkirch Til Schweiger,,CG animation,,,"September 26, 2013",75 minutes
2013,Khumba,South Africa,Anthony Silverston,Triggerfish Animation Studios,CG animation,[ 71 ],,"September 8, 2013 ( TIFF ) October 25, 2013 (South Africa)",85 minutes
2013,Kuiba 2,China,,,Traditional,,,"May 31, 2013",83 minutes
2013,Kunta,China,,,Traditional,,,"August 2, 2013",82 minutes
2013,Ku! Kin-dza-dza,Russia Georgia,Georgy Danelia,"Channel One , CTB, Ритм, Ugra Film",Traditional,[ 72 ],,"April 11, 2013",97 minutes
2013,Le Le Xiong Qi Huan Zhui Zong,China,,,Traditional,,,"June 29, 2013",85 minutes
2013,Leapfrog: Adventures in Shapeville Park,United States,Ron Myrick,Chris D'Angelo Productions LeapFrog Lionsgate,Traditional,,Direct-to-video,"January 22, 2013",35 minutes
2013,Leapfrog: The Magnificent Museum of Opposite Words,United States,Ron Myrick,Chris D'Angelo Productions LeapFrog Lionsgate,Traditional,,Direct-to-video,January 2013,68 minutes
2013,The Legend of Sarila,Canada,Nancy Florence Savard,"10th Ave Productions, CarpeDiem Film & TV",CG animation,,,"February 22, 2013",82 minutes
2013,Legends of Oz: Dorothy's Return,United States India,"Dan St. Pierre , Will Finn","Summertime Entertainment, Prana Studios",CG animation,,Theatrical,"June 14, 2013 ( AIAFF ) May 9, 2014 (United States)",88 minutes [ 73 ]
2013,Lisa Limone and Maroc Orange: A Rapid Love Story Lisa Limone ja Maroc Orange: Tormakas armulugu,Estonia,Mait Laas,Nukufilm,Stop motion,[ 74 ] [ 75 ],,"March 8, 2013",72 minutes
2013,The Little Fishgirl,Czech Republic,Jan Balej,,Stop motion,[ 76 ] [ 77 ],,,
2013,The Lost 15 Boys: The Big Adventure on Pirates' Island,China Japan,Xiaohan Mao Qichao Ba Yunfeng Zhang Bing Ryūtarō Nakamura,"China Film Group Corporation Sichuan Institute Of Media Zhigengniao Computer Art Co., Ltd Shanweiduo Media Co., Ltd",Cel shaded CG animation,[ 78 ],,"November 16, 2013 (Japan) October 1, 2014 (China)",82 minutes
2013,Louis & Luca and the Snow Machine Solan og Ludvig – Jul i Flåklypa,Norway,Rasmus A. Sivertsen,Maipo Film Qvisten Animation Kari and Kjell Aukrust's Foundation,Stop motion,,,"November 8, 2013",76 minutes
2013,I Love Wolffy 2,China,Kai Ye,Mr. Cartoon Pictures Creative Power Entertaining Beijing Kaku Media BestTV Media Nanjing Radio and TV Station Pearl River Pictures Beijing Hangmei Entertainment [ 79 ],Traditional,,,"August 1, 2013",88 minutes
2013,Chhatrapati Shivaji - The Emperor of People's Pride,India,Azhar Khan,Aman Anam Productions [ 80 ],Traditional,"First indian multilingual animated film based on Chatrpati Shivaji, the founder of Maratha Empire",Theatrical,"August 2, 2013",95 minutes [ 81 ]
2013,Lupin the 3rd vs. Detective Conan: The Movie,Japan,Hajime Kamegaki,TMS Entertainment,Traditional,Theatrical film sequel to the television film Lupin the 3rd vs. Detective Conan (2009); crossover of Lupin the Third and Case Closed .,Theatrical,"December 7, 2013",107 minutes
2013,The Magic Snowflake L'apprenti Père Noël et le flocon magique,France,Luc Vinciguerra,Gaumont Alphanim Snipple Animation Dapaco Productions,Traditional,[ 82 ],,"November 20, 2013 (France) December 23, 2015 (United States)",73 minutes
2013,Majocco Shimai no Yoyo to Nene,Japan,Takayuki Hirao,Ufotable,Traditional,[ 83 ],,"December 28, 2013",100 minutes
2013,Metalocalypse: The Doomstar Requiem,United States,Mark Brooks,"Titmouse, Inc. Williams Street",Flash animation,[ 84 ],,"October 27, 2013",47 minutes
2013,Miffy the Movie Nijntje de film,Denmark Netherlands,Hans Perk,A. Film A/S / Telescreen Film Productions / Mercis / KRO,Stop motion,[2] [ 85 ],,"January 30, 2013 (Netherlands) June 21, 2015 (United Kingdom)",70 minutes
2013,Minuscule: Valley of the Lost Ants Minuscule – La Vallée des Fourmis Perdues,France,Hélène Giraud Thomas Szabo,Entre Chien et Loup Futurikon Futurikon Production II Nozon Vivi Film Warner Chappel France,CG animation,,,"November 17, 2013 ( Tallinn ) January 29, 2014 ( France ) February 26, 2014 ( Belgium )",89 minutes [ 86 ]
2013,Monsters University,United States,Dan Scanlon,Pixar,CGI animation,"Prequel to Monsters, Inc. (2001).",Theatrical,"June 5, 2013 ( BFI Southbank ) June 21, 2013 (United States)",104 minutes [ 87 ]
2013,Moshi Monsters: The Movie,United Kingdom,"Wip Vernooij, Morgan Francis",Mind Candy,Flash animation,[ 88 ],Theatrical,"December 20, 2013",81 minutes [ 89 ]
2013,My Little Pony: Equestria Girls,United States Canada,Jayson Thiessen,"Hasbro Studios , DHX Media/Vancouver",Flash animation,,,"June 15, 2013 ( Los Angeles Film Festival ) June 16, 2013 (United States and Canada)",73 minutes
2013,My Little World,United States,Mike Nguyen,July Films,Traditional,[ 90 ],,,80 minutes
2013,"My Mommy is in America and she met Buffalo Bill Ma Maman est en Amérique, elle a rencontré Buffalo Bill",France Luxembourg,"Marc Boréal, Thibaut Chatel","Label Anim, Mélusine Productions",Flash animation,,,"June 10, 2013 ( AIAFF ) October 23, 2013 (France)",75 minutes
2013,The Mythical Ark: Adventures in Love & Happiness,China,William Kan / Huang Xiaoxue / Yu Tak Wai,Toonmax Media Creative Power Entertaining UYoung Culture & Media,Traditional,[ 91 ],,"January 24, 2013 (Mainland China)",86 minutes
2013,My Wife's a Cat,China,,,Traditional,,,"February 14, 2013",94 minutes
2013,Odyssey 2050 The Movie,Costa Rica,Daniel Bermejo / Bruce Callow,Synchro Films,CGI animation,[ 92 ] [ 93 ],,2012,Short Film in Spanish and English: 12 minutes Longer Spanish version: 47 minutes Feature Film: tbc
2013,Oggy and the Cockroaches: The Movie Oggy et les Cafards,France,Olivier Jean-Marie,"Xilam , France 3 Cinéma , Canal+ , France Télévisions , CNC, B Media Kids, Backup Films, [ 94 ] A Plus Image 4, Cofinova 9, Cofimage 24, Cube Créative, Mikros Image",Traditional/CG animation,[ 95 ] [ 96 ],,"August 7, 2013",82 minutes
2013,The Olsen Gang in Deep Trouble Olsen Banden på dybt vand,Denmark,Jørgen Lerdam,"A. Film Production , Nordisk Film",CG animation,,,"October 10, 2013",100 minutes
2013,Once Upon a Time Malayalam,India,Binu Sasidharan,Wireframe Animation,CG animation,,,"May 24, 2013",100 minutes [ 97 ]
2013,Otto the Rhino Otto er et næsehorn,Denmark,Kenneth Kainz,Crone Film,CGI animation,[ 98 ] [ 99 ] [ 100 ] [ 101 ],,"February 7, 2013",76 minutes
2013,Oz the Great and Powerful,United States,Sam Raimi,Roth Films,Animation/Live-Action,,Theatrical,"March 8, 2013",130 minutes
2013,Patema Inverted Sakasama no Patema,Japan,Yasuhiro Yoshiura,Purple Cow Studio Japan,Traditional,[ 102 ] [ 103 ],,"November 9, 2013",99 minutes
2013,"Persona 3 The Movie: Chapter 1, Spring of Birth",Japan,Noriaki Akitaya Tomohisa Taguchi [ # 1 ],AIC ASTA,Traditional,,,"November 23, 2013",91 minutes
2013,Pinocchio,Italy France Belgium Luxembourg,Enzo D'Alò,"2d3D Animations, Cometa Film, Iris Productions, Walking the dog",Traditional,,,"August 20, 2012 ( Venice ) March 21, 2013 (Italy)",84 minutes
2013,Planes,United States,Klay Hall,DisneyToon Studios,CG animation,,Theatrical,"August 2, 2013 ( EAA AirVenture Oshkosh ) August 9, 2013 (United States)",92 minutes [ 104 ]
2013,Plaster of Paris,United States,Cora Clifford,,Traditional,,,"December 5, 2013",76 minutes
2013,Poe,United States,Michael Sporn,"Michael Sporn Animation, Inc.",Traditional,,,"June 6, 2013",90 minutes
2013,Pokémon the Movie: Genesect and the Legend Awakened,Japan,Kunihiko Yuyama,"OLM, Inc.",Traditional,,,"July 13, 2013",72 minutes
2013,"Pororo, The Racing Adventure 뽀로로 극장판 슈퍼썰매 대모험",China South Korea,Young Kyun Park,China ACG Group Co. China Entertainment Co. Ocon Studios,CG animation,[ 105 ],,"January 23, 2013 (South Korea) January 25, 2013 (China) October 6, 2014 (United States)",79 minutes
2013,Pretty Cure All-Stars New Stage 2: Kokoro no Tomodachi,Japan,Koji Ogawa,Toei Animation,Traditional,[ 106 ],,"March 16, 2013",71 minutes
2013,Prince Ivan and the Firebird ru:Как поймать перо Жар-Птицы,Russia,Vyacheslav Plotnikov,,Traditional,,,"October 24, 2013",80 minutes
2013,Princess Twins of Legendale,United States,Doug Krohn,MGA Entertainment,CG animation,[ 107 ],,August 2013,74 minutes
2013,The Return of Buratino Возвращение Буратино,Russia,Ekaterina Mikhaylova,"Animose Studio, UMP Studio",Traditional,,,"April 25, 2013",76 minutes
2013,Rio 2096: A Story of Love and Fury Uma História de Amor e Fúria,Brazil,Luiz Bolognesi,"Buriti Filmes, Gullane",Traditional,[ 108 ],,"March 7, 2013 ( MIFF ) April 5, 2013 (Brazil)",75 minutes
2013,Knight Rusty Ritter Rost – Eisenhart und voll verbeult,Germany,Thomas Bodenstein,,CG animation,,,"January 10, 2013",84 minutes
2013,Robotech: Love Live Alive,United States Japan,"Gregory Snegoff , Katsuhisa Yamada",Harmony Gold USA,Traditional,,Direct-to-video,"July 23, 2013",90 minutes
2013,Roco Kingdom: The Desire of Dragon,China,Sheng-jun Yu,"Shenzhen Tencent Computer Systems, Jiangsu Youman Cartoon TV",Traditional,[ 109 ],,"January 31, 2013",89 minutes
2013,Saint Young Men,Japan,Noriko Takao,A-1 Pictures,Traditional,[ 110 ],,"May 10, 2013",90 minutes
2013,Saving Mr. Banks,Australia United Kingdom United States,John Lee Hancock,Walt Disney Pictures Ruby Films Essential Media and Entertainment BBC Films Hopscotch Features,Live-Action/Traditional Animation,[ 111 ] [ 112 ] [ 113 ] [ 114 ],Theatrical,"October 20, 2013 ( BFI London Film Festival ) November 29, 2013 (United Kingdom) December 13, 2013 (United States) January 9, 2014 (Australia)",125 minutes [ 115 ]
2013,Saving Santa,United Kingdom United States,"Leon Joosen, Aaron Seelman",Gateway Films Prana Studios,CGI animation,,Direct-to-video,"November 1, 2013",83 minutes
2013,The Smurfs 2,United States,Raja Gosnell,Sony Pictures Animation,Live-Action/CGI animation,[ 116 ],Theatrical,"July 31, 2013 [ 117 ]",105 minutes [ 118 ]
2013,Scooby-Doo! Adventures: The Mystery Map,United States,Jomac Noph,Warner Bros Animation Spiffy Productions Hanna Barbera Productions,Puppetry,,Direct-to-video,"July 21, 2013 ( San Diego Comic-Con ) July 23, 2013 (United States)",45 minutes
2013,Scooby-Doo! Mask of the Blue Falcon,United States,Michael Goguen,Warner Bros Animation Hanna Barbera Productions,Traditional,,Direct-to-video,"February 26, 2013",78 minutes
2013,Scooby-Doo! Stage Fright,United States,Victor Cook,Warner Bros Animation Hanna Barbera Productions,Traditional,,Direct-to-video,"August 20, 2013",78 minutes
2013,Seer 3,China,"Wang Zhangjun , Yin Yuqi",Shanghai Taomee Animation Limited Enlight Pictures,CG animation,,,"July 12, 2013",103 minutes
2013,Short Peace,Japan,"Shuhei Morita , Katsuhiro Otomo , Hiroaki Ando , Hajime Katoki",Sunrise,Traditional,,,"July 20, 2013",14 minutes 13 minutes 13 minutes 26 minutes
2013,Sid The Science Kid: The Movie,United States,Drew Massey,The Jim Henson Company,CG Animation,,,"March 25, 2013",75 minutes
2013,Silver Circle,United States,Pasha Roberts,Lineplot Productions,CG animation,,,"March 22, 2013",90 minutes
2013,The Soccer Way,China,,,Traditional,,,"June 16, 2013",
2013,Space Panda,China,,,Traditional,,,"December 27, 2013",
2013,Space Pirate Captain Harlock 宇宙海賊キャプテンハーロック (Uchū Kaizoku Kyaputen Hārokku),Japan,Shinji Aramaki,Toei Animation,CG animation,[ 119 ],,"September 3, 2013 ( Venice ) September 7, 2013 (Japan)",111 minutes [ 120 ]
2013,Star Driver: The Movie,Japan,Takuya Igarashi,Bones,Traditional,[ 121 ],,"February 9, 2013",150 minutes
2013,Steins;Gate: Fuka Ryōiki no Déjà vu,Japan,Kanji Wakabayashi,White Fox,Traditional,[ 122 ],,"April 20, 2013",90 minutes
2013,Still Living in God's Universe,United States,Cora Clifford,,Traditional,,,"December 11, 2013 (video premiere)",79 minutes
2013,Tarzan,United States Germany,Reinhard Klooss,Constantin Film,CG animation,,Theatrical,"October 17, 2013 (Russia) February 20, 2014 (Germany)",94 minutes
2013,That Boy Emil Emil & Ida i Lönneberga,Sweden,Per Åhlin Alicja Björk Lasse Persson,Filmlance International,Traditional,[ 123 ] [ 124 ],,"December 25, 2013",59 minutes
2013,Thomas & Friends: King Of The Railway,United Kingdom,Rob Silvestri,HIT Entertainment,CG animation,,,"September 2, 2013 (United States) September 17, 2013 (United Kingdom)",62 minutes
2013,Til Sbornia Do Us Part Até que a Sbórnia nos Separe,Brazil,"Otto Guerra, Ennio Torresan Jr.",Otto Desenhos Animados,Traditional,,,"August 14, 2013 ( Gramado Film Festival ) October 30, 2014 (Brazil)",83 minutes
2013,Tom and Jerry's Giant Adventure,United States,Spike Brandt Tony Cervone,Turner Entertainment Co. Warner Bros. Animation,Traditional,,Direct-to-video,"August 6, 2013",57 minutes
2013,Train Heroes,China Japan,,,CG animation,,,2012,
2013,Turbo,United States,David Soren,DreamWorks Animation,CGI animation,,Theatrical,"July 17, 2013 [ 125 ]",96 minutes [ 126 ] [ 127 ]
2013,The Ultimate Task,China,Sun Lijun,"Beijing Film Academy [ 79 ] Hunan Aniworld Cartoon Co., Ltd [ 79 ] Beijing Aiyi Meixun Animation Production Co., Ltd [ 79 ] Huaxia Film Distribution Co., Ltd [ 79 ] Beijing Iqiyi Co., Ltd [ 79 ] Beijing Bihe Shijia Media Co., Ltd [ 79 ]",Traditional,[ 128 ],,"July 20, 2013",85 minutes
2013,Underdogs Metegol Futbolín Foosball The Unbeatables,Argentina Spain,Juan José Campanella,"100 Bares Producciones, Antena 3 Films , Catmandu Branded Entertainment, JEMPSA, Telefe , Canal Plus",CG animation,[ 129 ] [ 130 ],Theatrical,"July 18, 2013",85 minutes (United States) 106 minutes [ 131 ] (Argentina/Spain) 97 minutes [ 132 ] (United Kingdom)
2013,VeggieTales: MacLarry and the Stinky Cheese Battle,United States,Mike Nawrocki,Big Idea Productions,CG animation,,Direct-to-video,"July 30, 2013",46 minutes
2013,VeggieTales: Merry Larry and the True Light of Christmas,United States,Brian Roberts,Big Idea Productions,CG animation,,Direct-to-video,"October 22, 2013",46 minutes
