Year,Title,Country,Director,Studio,Animation technique,Notes,Release date,Duration
2023,3 Little Kungpoo Goats,China Islamic Republic of Iran,Farzad Dalvand Kianoush Dalvand,Aria Animation Studio Phoenix Motion Picture Production,CG animation,[ 1 ] [ 2 ] [ 3 ] [ 4 ] [ 5 ],"September 10, 2022 (World Festival of Animated Film) April 13, 2023 (Russia) May 24, 2024 (Turkey)",89 minutes
2023,A Kingdom for Us All Un Reino para Todos Nosotros,Mexico Colombia,Miguel Ángel Uriegas,Fotosíntesis Media,Traditional,[ 6 ] [ 7 ],June 2023,86 minutes
2023,Allahyar and the 100 Flowers of God,Pakistan,Uzair Zaheer Khan,3rd World Studios,CG animation,[ 8 ] [ 9 ] [ 10 ],"June 28, 2023",90 minutes
2023,Amader Choto Russel Shona,Bangladesh,Rubens Rahman Rubayet Mahmud,Information and Communication Technology Division,Traditional,[ 11 ] [ 12 ],"October 18, 2023",26 minutes
2023,Go! Anpanman: Roborii and the Warming Present ja:それいけ!アンパンマン ロボリィとぽかぽかプレゼント,Japan,Toshikazu Hashimoto,Anpanman Production Committee TMS Entertainment,Traditional,[ 13 ],"June 30, 2023",64 minutes
2023,Art College 1994,China,Liu Jian,Nezha Bros. Pictures Company Limited Modern Sky Entertainment Company Limited China Academy Of Art's School of Animation and Game,Traditional,[ 14 ] [ 15 ] [ 16 ] [ 17 ] [ 18 ],"February 24, 2023 ( Berlinale )",118 minutes
2023,Baby Shark's Big Movie!,United States South Korea,Alan Foreman,Pinkfong Nickelodeon Animation Studio,Traditional Flash animation,[ 19 ] [ 20 ],"December 8, 2023",78 minutes
2023,Babylon 5: The Road Home,United States,Matt Peters,"Warner Bros. Animation Babylonian Productions, Inc. Studio JMS",CG animation Traditional,[ 21 ],"August 14, 2023 (United Kingdom) August 15, 2023 (United States)",79 minutes
2023,Bamse and the World's Smallest Adventure Bamse och världens minsta äventyr,Sweden,Christian Ryltenius,Nordisk Film,Traditional,[ 22 ],"December 22, 2023",65 minutes
2023,Barbie: Skipper and the Big Babysitting Adventure,United States Canada,Steve Daye,Mainframe Studios Mattel Television [ 23 ],CG animation,[ 24 ] [ 25 ] [ 26 ],"March 16, 2023",60 minutes
2023,Batman: The Doom that Came to Gotham,United States,Christopher Berkeley Sam Liu,Warner Bros. Animation DC Entertainment,Traditional,[ 27 ],"March 28, 2023",86 minutes
2023,Berry and Dolly - Tales of Months Bogyó és Babóca 5 - Hónapok meséi,Hungary,Géza M. Tóth Kinga Fazakas,Kedd Animation Studio,Traditional,[ 28 ],"April 6, 2023 (Hungary)",70 minutes
2023,Big Bruh,United States,Jerron Horton,Tubi Fox Entertainment Studios Bento Box Entertainment,Traditional/ Flash animation,[ 29 ],"November 12, 2023",67 minutes
2023,Birth of Kitarō: The Mystery of GeGeGe,Japan,Gō Koga,Toei Animation,Traditional,[ 30 ],"November 17, 2023",104 minutes [ 31 ]
2023,Black Clover: Sword of the Wizard King,Japan,Ayataka Tanemura,Pierrot Netflix,Traditional,[ 32 ] [ 33 ] [ 34 ],"June 16, 2023",110 minutes
2023,Blue Giant,Japan,Yuzuru Tachikawa,NUT,Traditional,[ 35 ],"February 17, 2023",120 minutes
2023,Boonie Bears: Guardian Code,China,Lin Yongchang Shao Heqi,Fantawild,CG animation,[ 36 ] [ 37 ],"January 22, 2023 [ 38 ]",95 minutes
2023,The Boy and the Heron,Japan,Hayao Miyazaki,Studio Ghibli,Traditional,[ 39 ] [ 40 ] [ 41 ] [ 42 ],"July 14, 2023",124 minutes
