Year,Title,Country,Director,Studio,Animation technique,Notes,Release date,Duration
2023,The Brothers Gruff go to Splash world Bukkene Bruse på Badeland,Norway,Will Ashurst,Qvisten Animation,Traditional CG animation,[ 43 ],"December 25, 2023",70 minutes
2023,Butterfly Tale,Canada Germany,Sophie Roy,CarpeDiem Film & TV Ulysses Filmproduktion Senator Film Köln,CG animation,[ 44 ] [ 45 ] [ 46 ],"September 16, 2023 ( Atlantic International Film Festival ) September 29, 2023 (Spain) October 13, 2023 (Canada) February 1, 2024 (Germany)",82 minutes
2023,The Canterville Ghost,United Kingdom Ireland India,Kim Burdon Robert Chandler,Align Melmoth Films Space Age Films Sprout Pictures Toonz Media Group,CG animation,[ 47 ],"September 22, 2023 (United Kingdom)",89 minutes
2023,Cats in the Museum Koty Ermitazha,Russia,Vasiliy Rovenskiy,Licensing Brands,CG animation,[ 48 ] [ 49 ],"March 23, 2023 (Russia)",83 minutes
2023,Chang'an,China,Xie Junwei Zou Jing,"Light Chaser Animation Studios Alibaba Pictures Tianjin Maoyan Weiying Culture Media Weibo Corporation China Film Co., Ltd.",CG animation,[ 50 ],"July 2, 2023 (Limited) July 8, 2023 (China)",168 minutes
2023,Cheburashka,Russia,Dmitry Dyachenko,"Yellow, Black and White START Studio Soyuzmultfilm Russia-1 CTC Media Cinema Fund",CG animation Live-action,[ 51 ] [ 52 ] [ 53 ],"January 1, 2023",113 minutes
2023,Chef Jack: The Adventurous Cook,Brazil,Guilherme Fiúza Zenha,Immagini Animation Studios Pixel Produções Ciclus Produções Solo Filmes,Traditional,[ 54 ],"January 19, 2023",80 minutes
2023,Chicken for Linda! Linda veut du poulet!,France Italy,Sébastien Laudenbach Chiara Malta,Dolce Vita Films Miyu Productions Palosanto Films,Traditional,[ 55 ],"June 12, 2023 ( Annecy ) October 18, 2023 (France) September 5, 2024 (Italy)",73 minutes
2023,Chicken Run: Dawn of the Nugget,United Kingdom,Sam Fell,Netflix Aardman Animations,Stop-Motion,[ 56 ] [ 57 ] [ 58 ],"October 14, 2023 ( BFI ) December 15, 2023 [ 59 ]",98 minutes [ 60 ]
2023,City Hunter The Movie: Angel Dust,Japan,Kazuyoshi Takeuchi,Sunrise The Answer Studio,Traditional,[ 61 ],"September 8, 2023",94 minutes
2023,Colossus: Child of the Wind,South Korea,Shin Chang-sub,GRIMAE,Traditional,[ 62 ],"May 18, 2023",93 minutes
2023,The Concierge at Hokkyoku Department Store,Japan,Yoshimi Itazu,Production I.G,Traditional,[ 63 ] [ 64 ] [ 65 ] [ 66 ] [ 67 ],"October 20, 2023",70 minutes
2023,Craig Before the Creek,United States,Matt Burnett Ben Levin,Cartoon Network Studios,Traditional,[ 68 ],"December 11, 2023 (Digital) January 13, 2024 (TV)",88 minutes
2023,Cricket & Antoinette Cvrčak i mravica,Croatia,Luka Rukavina,Diedra Zagreb Film,CG animation,[ 69 ],"January 5, 2023",82 minutes
2023,Dark Harvest,United States,David Slade,Matt Tolmach Productions,Live-action CG animation,[ 70 ] [ 71 ] [ 72 ] [ 73 ],"October 11, 2023 ( Alamo Drafthouse Cinema ) October 13, 2023 ( Digital )",96 minutes [ 74 ]
2023,Deep Sea,China,Tian Xiaopeng,October Media Coloroom Pictures,CG animation,[ 75 ] [ 76 ] [ 77 ],"January 22, 2023 [ 78 ] [ 79 ]",112 minutes
2023,Demon Slayer: Kimetsu no Yaiba – To the Swordsmith Village,Japan,Haruo Sotozaki,Ufotable Toho Aniplex,Traditional,[ 80 ],"February 3, 2023",110 minutes
2023,Detective Conan: Black Iron Submarine,Japan,Yuzuru Tachikawa,TMS Entertainment,Traditional,[ 81 ],"April 14, 2023",109 minutes
2023,Diary of a Wimpy Kid Christmas: Cabin Fever,United States Canada,Luke Cormican,Walt Disney Pictures Bardel Entertainment,CG animation,[ 82 ] [ 83 ],"December 8, 2023",62 minutes
2023,Didi & Friends The Movie,Malaysia,Akmal Aziz Asmawi Roshfaizal Ariffin,Astro Shaw Warnakala Studios Digital Durian,CG animation,[ 84 ],"February 23, 2023 (Malaysia) April 20, 2023 (Singapore)",104 minutes
2023,Digimon Adventure 02: The Beginning,Japan,Tomohisa Taguchi,Yumeta Company,Traditional,[ 85 ],"October 5, 2023 (Premiere) October 27, 2023 (Japan)",87 minutes
2023,Distortion,Philippines,Frederick C.G. Borromeo,Studio Moonchalk,Traditional,[ 86 ],"January 23, 2023",47 minutes
2023,Dogs at the Opera,Russia,Vasiliy Rovenskiy,Nashe Kino,CG animation,[ 87 ],"December 27, 2023",75 minutes
2023,Doraemon: Nobita's Sky Utopia,Japan,Takumi Doyama,Shin-Ei Animation,Traditional,[ 88 ] [ 89 ],"March 3, 2023",107 minutes [ 90 ]
2023,Elemental,United States,Peter Sohn,Disney Pixar Animation Studios,CG animation,[ 91 ] [ 92 ],"May 27, 2023 ( Cannes ) June 16, 2023 (United States)",101 minutes [ 93 ]
2023,Emesis Blue,United States,Chad Payne,Fortress Films Source Filmmaker,CG animation,[ 94 ],"February 20, 2023",108 minutes
2023,Epic Tails Pattie et la colère de Poséidon,France,David Alaux,TAT Productions Apollo Films,CG animation,[ 95 ] [ 96 ],"January 25, 2023",95 minutes
2023,Eternal Boys Next Stage,Japan,migmi,Liden Films,Traditional,[ 97 ] [ 98 ],"June 9, 2023",69 minutes [ 99 ]
2023,Fafner in the Azure: Behind the Line,Japan,Takashi Noto,Production I.G,Traditional,[ 100 ],"January 20, 2023",54 minutes
2023,Fate/strange Fake: Whispers of Dawn,Japan,Shun Enokido Takahito Sakazume,A-1 Pictures,Traditional,[ 101 ] [ 102 ] [ 103 ] [ 104 ] [ 105 ] [ 106 ] [ 107 ],"July 2, 2023",55 minutes
2023,Four Souls of Coyote Kojot négy lelke [ 108 ],Hungary,Áron Gauder [ 109 ],Cinemon Entertainment [ 110 ],Traditional,[ 111 ] [ 112 ] [ 113 ] [ 114 ] [ 115 ] [ 116 ],"March 16, 2023 (Hungary) June 12, 2023 ( Annecy )",103 minutes
2023,Gajaman,Sri Lanka,Chanaka Perera,Studio 101,CG animation,[ 117 ] [ 118 ] [ 119 ],"January 20, 2023",99 minutes
2023,Gekijōban Argonavis Axia,Japan,Shigeru Morikawa,Sanzigen,Traditional,[ 120 ],"March 24, 2023",64 minutes
2023,A Giant Adventure,Peru,Eduardo Schuldt,Alligator Entertainment,CG animation,[ 121 ] [ 122 ],"January 12, 2023",80 minutes
2023,Girls und Panzer das Finale: Part 4,Japan,Tsutomu Mizushima,Actas,Traditional,[ 123 ],"October 6, 2023",56 minutes
2023,Glisten and the Merry Mission,United States,Cory Morrison,Big Jump Entertainment Foundation Media Partners Build-A-Bear Entertainment,Flash animation,[ 124 ] [ 125 ] [ 126 ],"November 3, 2023",78 minutes [ 127 ]
2023,Goldbeak,China,Nigel W. Tierney Dong Long,Liang Zi Film Tierney Corp Productions,CG Animation,,"March 13, 2023 ( Hong Kong International Film Festival )",94 minutes
2023,Gold Kingdom and Water Kingdom,Japan,Kotono Watanabe,Madhouse,Traditional,[ 128 ] [ 129 ] [ 130 ],"January 27, 2023",117 minutes
2023,A Greyhound of a Girl,Estonia Germany Ireland Italy Latvia Luxembourg United Kingdom,Enzo D'Alò,Jam Media Paul Thiltges Distributions Aliante Rija Films Amrion Production Fish Blowing Bubbles,Traditional,[ 131 ] [ 132 ] [ 133 ] [ 134 ] [ 135 ],"February 18, 2023 ( Berlin Film Festival ) November 23, 2023 (Italy)",85 minutes
2023,Gridman Universe,Japan,Akira Amemiya,Toho Animation Studio Trigger,Traditional,[ 136 ] [ 137 ] [ 138 ] [ 139 ],"March 24, 2023",118 minutes
2023,Heroes of the Golden Masks,Canada,Sean O'Reilly,Arcana Studio CG Bros Entertainment Gravitas Ventures,CG animation,[ 140 ] [ 141 ] [ 142 ],"June 9, 2023",88 minutes
2023,Hidden Dragon,United States China,Boqing Tang Xiaolan Zeng,Pantheon Entertainment Magic Hill Animation Studio,CG animation,[ 143 ],"December 15, 2023",86 minutes
2023,IDOLiSH7 LIVE 4bit BEYOND THE PERiOD,Japan,Hiroshi Nishikiori Kensuke Yamamoto,Orange,Traditional CG animation,[ 144 ] [ 145 ],"May 20, 2023",93 minutes
2023,The Imaginary,Japan,Yoshiyuki Momose,Studio Ponoc,Traditional,[ 146 ],"December 15, 2023",105 minutes [ 147 ]
2023,The Inseparables,Belgium France Spain,Jérémie Degruson,Paramount Pictures A Contracorriente Films Octopolis nWave Pictures,CG animation,[ 148 ],"June 12, 2023 ( Annecy ) [ 149 ] August 10, 2023 (Belgium) December 13, 2023 (France) August 30, 2024 (Spain)",90 minutes
2023,The Inventor,France Ireland United States Luxembourg,Jim Capobianco,Curiosity Studio Foliascope Leo & King Melusine Productions,Stop-Motion Traditional CG animation,[ 150 ] [ 151 ],"June 12, 2023 ( Annecy ) [ 149 ] September 15, 2023 (United States) January 31, 2024 (France) [ 152 ]",92 minutes [ 153 ]
2023,Johnny & Me Johnny & Me - eine Zeitreise mit John Heartfield,Austria Switzerland German,Katrin Rothe,Dschoint Ventschr Filmproduktion AG Hanfgarn & Ufer Film und TV Produktion Mischief Films,Stop motion Live-action,[ 154 ] [ 155 ] [ 156 ],"June 12, 2023 ( Annecy ) January 25, 2024 (Germany)",104 minutes
2023,The Jungle Bunch 2: World Tour Les As de la Jungle 2: Opération tour du monde,France,Benoît Somville,TAT Productions SND Groupe M6,CG animation,[ 157 ],"August 16, 2023 (France) February 2, 2024 (United States) September 14, 2024 (Russia)",88 minutes
2023,Justice League: Warworld,United States,Jeff Wamester,Warner Bros. Animation DC Entertainment,Traditional,[ 27 ],"July 25, 2023",89 minutes
2023,Justice League X RWBY: Super Heroes and Huntsmen: Part One,United States,Kerry Shawcross,Warner Bros. Animation DC Entertainment Rooster Teeth Animation,CG animation Traditional,[ 27 ] [ 158 ],"April 25, 2023",80 minutes
2023,Justice League X RWBY: Super Heroes and Huntsmen: Part Two,United States,Dustin Mattews Yssa Badiola,Warner Bros. Animation DC Entertainment Rooster Teeth Animation,CG animation Traditional,[ 27 ] [ 158 ],"October 31, 2023",91 minutes
2023,Katak: The Brave Beluga,Canada,Christine Dallaire-Dupont Nicola Lemay,10th Ave. Productions,CG animation,[ 159 ],"February 24, 2023",82 minutes
2023,Kensuke's Kingdom Le royaume de Kensuké,United Kingdom Luxembourg France,Neil Boyle Kirk Hendry,British Film Institute Ffilm Cymru Wales Film Fund Luxembourg,Traditional,[ 160 ] [ 161 ] [ 162 ],"June 11, 2023 ( Annecy ) October 14, 2023 ( BFI London Film Festival ) February 7, 2024 (France)",85 minutes
2023,Komada: A Whisky Family,Japan,Masayuki Yoshihara,P.A. Works,Traditional,[ 163 ] [ 164 ],"June 15, 2023 ( Annecy ) November 10, 2023 (Japan)",91 minutes
2023,Kundan Satti,India,P. K. Aghasthi,Shellammal Movie Makers,CG animation,[ 165 ] [ 166 ] [ 167 ] [ 168 ] [ 169 ],"October 13, 2023",106 minutes
2023,La leyenda de los Chaneques,Mexico,Marvick Núñez,Ánima,Flash animation,[ 170 ] [ 171 ],"July 14, 2023",89 minutes
2023,Ladybug & Cat Noir: The Movie,France,Jeremy Zag,Zagtoon Method Animation,CG animation,[ 172 ] [ 173 ] [ 174 ],"June 11, 2023 ( Grand Rex ) July 5, 2023 (France) July 28, 2023 ( Netflix )",105 minutes [ 175 ]
2023,Legion of Super-Heroes,United States,Jeff Wamester,Warner Bros. Animation DC Entertainment,Traditional,[ 27 ] [ 176 ],"February 7, 2023",83 minutes
2023,Leo,United States Australia,Robert Marianetti David Wachtenheim Robert Smigel,Netflix Animation Happy Madison Productions Animal Logic,CG animation,[ 177 ] [ 178 ] [ 179 ],"November 21, 2023",102 minutes [ 180 ]
2023,The Little Mermaid,United States,Michael Johnson,The Asylum,CG animation,[ 181 ],"June 6, 2023",90 minutes
2023,Maboroshi,Japan,Mari Okada,MAPPA,Traditional,[ 182 ],"September 15, 2023",111 minutes
2023,The Magician's Elephant,United States,Wendy Rogers,Netflix Animation Animal Logic,CG animation,[ 183 ] [ 184 ],"May 17, 2023",100 minutes [ 185 ]
2023,Mars Express,France,Jérémie Périn,Everybody On the Deck Je Suis Bien Content Ev.L Prod Plume Finance France 3 Cinéma Shine Conseils Gébéka Films Amopix,Traditional CG animation,[ 186 ],"May 21, 2023 ( Cannes ) June 12, 2023 ( Annecy ) November 22, 2023 (France)",85 minutes
2023,Mavka: The Forest Song,Ukraine,Oleg Malamuzh Oleksandra Ruban,Animagrad FILM.UA Group,CG animation,[ 187 ] [ 188 ] [ 189 ],"March 2, 2023 (Ukraine)",90 minutes [ 190 ]
2023,Metalocalypse: Army of the Doomstar,United States,Brendon Small,"Williams Street Titmouse, Inc.",Traditional,[ 191 ],"August 22, 2023",83 minutes
2023,Merry Little Batman,United States,Mike Roth,Warner Bros. Animation DC Entertainment,Traditional,[ 192 ] [ 193 ],"December 8, 2023",96 minutes
2023,Mickey and Friends Trick or Treats,United States,David H. Brooks,Stoopid Buddy Stoodios Disney Television Animation,Stop Motion,[ 194 ] [ 195 ],"October 1, 2023",30 minutes
2023,Migration,United States France,Benjamin Renner,Universal Pictures Illumination,CG animation,[ 196 ] [ 197 ] [ 198 ],"October 19, 2023 ( VIEW Conference ) December 22, 2023 (United States)",83 minutes [ 199 ]
2023,Millennial Hunter,United States,Sam Taggart,Tubi Fox Entertainment Studios Bento Box Entertainment,Traditional Flash animation,[ 29 ] [ 200 ],"August 14, 2023",70 minutes
2023,The Missing,Philippines Thailand,Carl Joseph Papa,Project 8 Projects GMA News and Public Affairs Terminal Six Post Purin Pictures,Traditional Rotoscope,[ 201 ] [ 202 ] [ 203 ],"August 5, 2023 ( Cinemalaya ) January 7, 2024 ( Palm Springs )",90 minutes
2023,Mikolo,Nigeria [ 204 ],Niyi Akinmolayan [ 204 ],Anthill Studios [ 204 ] Film One Entertainment [ 205 ] Amazon Prime [ 206 ],CG animation Live-action,[ 207 ] [ 208 ] [ 209 ] [ 210 ] [ 211 ] [ 212 ],"August 18, 2023 [ 204 ]",110 minutes [ 213 ]
2023,The Monkey King,United States China Canada,Anthony Stacchi,Netflix Animation Pearl Studio Reel FX Animation,CG animation,[ 214 ] [ 179 ],"July 30, 2023 ( NYAFF ) August 18, 2023 (Netflix)",96 minutes
2023,Mortal Kombat Legends: Cage Match,United States,Ethan Spaulding,Warner Bros. Animation,Traditional,[ 215 ] [ 216 ],"October 17, 2023",76 minutes
2023,Mujib Bhai,Bangladesh,Chandan K Barman Sohel Mohammad Rana,Technomagic Private Ltd Hypertag Ltd,CG animation Traditional,[ 217 ] [ 218 ] [ 219 ] [ 220 ] [ 221 ],"June 23, 2023",47 minutes
2023,Mummies,Spain,Juan Jesús García Galocha,Warner Bros. Pictures Atresmedia Cine 4 Cats Pictures Anangu Grup Moomios Movie AIE,CG animation,[ 222 ] [ 223 ],"January 5, 2023 (Australia) February 24, 2023 (Spain)",88 minutes [ 224 ]
2023,My Next Life as a Villainess: All Routes Lead to Doom! The Movie,Japan,Keisuke Inoue,Silver Link,Traditional,[ 225 ] [ 226 ] [ 227 ] [ 228 ] [ 229 ] [ 230 ] [ 231 ] [ 232 ] [ 233 ] [ 234 ] [ 235 ],"November 19, 2023 (New York City) December 8, 2023 (Japan)",90 minutes [ 236 ]
2023,A Mystery on the Cattle Hill Express,Norway,Will Ashurst,Felleskjø Kristiansand Dyrepark Qvisten Animation,CG animation,[ 237 ] [ 238 ] [ 239 ] [ 240 ] [ 241 ],"March 3, 2023",70 minutes
2023,New Dimension! Crayon Shin-chan the Movie: Battle of Supernatural Powers ~Flying Sushi~,Japan,Hitoshi Ône,ADK Futabasha Shin Ei Animation Shirogumi TV Asahi Productions,CG animation,,"August 4, 2023",93 minutes [ 242 ] [ unreliable source? ]
2023,Nimona,United States,Nick Bruno Troy Quane,Netflix Annapurna Animation Vertigo Entertainment DNEG Animation,CG animation,[ 243 ] [ 179 ] [ 244 ] [ 245 ],"June 14, 2023 ( Annecy ) [ 246 ] June 23, 2023 (United States) June 30, 2023 ( Netflix )",99 minutes [ 247 ]
2023,Nina and the Hedgehog's Secret,France Luxembourg,Jean-Loup Felicioli Alain Gagnol,Auvergne Rhône-Alpes Cinéma Doghouse Films Folimage KMBO Production Parmi Les Lucioles Films Philophon,Traditional,[ 248 ],"June 12, 2023 ( Annecy ) August 4, 2023 ( Locarno Film Festival ) October 11, 2023 (France)",82 minutes
2023,Oh My School!,China,Mingze Xia Kai Yan,Beijing Enlight Pictures,CG animation,,"July 14, 2023",91 minutes
2023,Ozi: Voice of the Forest,United Kingdom France,Tim Harper,Appian Way GCI Film Mike Medavoy Productions GFM Animation,CG animation,[ 249 ] [ 250 ] [ 251 ],"June 13, 2023 ( Annecy ) August 16, 2024 (United Kingdom)",87 minutes
2023,Pastacolypse,United States,Matt Maiellaro,Tubi Fox Entertainment Studios Bento Box Entertainment,Traditional Flash animation,[ 29 ],"May 21, 2023 [ 252 ]",70 minutes
2023,Paw Patrol: The Mighty Movie,Canada United States,Cal Brunker,Paramount Pictures Nickelodeon Movies Spin Master Entertainment,CG animation,[ 253 ],"September 29, 2023",87 minutes [ 254 ]
2023,The Peasants,Poland Serbia Lithuania,DK Welchman Hugh Welchman,BreakThru Films DigitalKraft Art Shot,Oil-painted Traditional,[ 255 ] [ 256 ] [ 257 ],"September 13, 2023 ( TIFF ) October 13, 2023 (Poland) January 26, 2024 (United States)",115 minutes [ 258 ]
2023,Pelikan Blue hu:Kék Pelikan,Hungary,László Csáki,Cinemon Entertainment Umbrella,Traditional,,"November 11, 2023 (Tallinn) April 4, 2024 (Hungary)",84 minutes
2023,Phoenix: Reminiscence of Flower,Japan,Shōjirō Nishimi,Studio 4°C,Traditional,[ 259 ],"November 3, 2023",95 minutes
2023,Pinkfong & Hogi Mini-Movie: The Tricky Three Cars,South Korea United States,,The Pinkfong Company,CG animation,,,
2023,Pinkfong Sing-Along Movie 3: Catch the Gingerbread Man,South Korea United States,Sukyoung Kim,The Pinkfong Company,CG animation,[ 260 ],"July 26, 2023 (South Korea) September 9, 2023 (United States)",66 minutes
2023,Pole Princess!!,Japan,Hitomi Ezoe Yoshihiro Otobe (CG),Tatsunoko Production,Traditional CG animation,[ 261 ] [ 262 ],"November 23, 2023",75 minutes
2023,"Poop, Spring and the Others ' Kaka, kevad ja teised",Estonia,Meelis Arulepp Heiki Ernits Oskar Lehemaa Mikk Mägi René Vilbre,A. Film Production,Traditional Flash Animation Stop Motion CG animation Live-Action,,"February 10, 2023",71 minutes [ 263 ]
2023,Pretty Cure All Stars F,Japan,Yūta Tanaka,Toei Animation,Traditional,[ 264 ],"September 15, 2023",73 minutes
2023,Pretty Guardian Sailor Moon Cosmos The Movie,Japan,Tomoya Takahashi,Toei Animation Studio Deen,Traditional,[ 265 ] [ 266 ] [ 267 ],"Part 1: June 9, 2023 Part 2: June 30, 2023","160 minutes (total, 80 minutes per film) [ 268 ] [ 269 ]"
2023,Princess Principal: Crown Handler – Chapter 3,Japan,Masaki Tachibana,Actas,Traditional,[ 270 ],"April 7, 2023",60 minutes
2023,Psycho-Pass Providence,Japan,Naoyoshi Shiotani,Production I.G,Traditional,[ 271 ],"May 12, 2023",120 minutes
2023,Puffin Rock and the New Friends,United Kingdom Ireland,Jeremy Purcell Lorraine Lordan,Cartoon Saloon Dog Ears WestEnd Films,Flash animation,[ 272 ] [ 273 ],"July 14, 2023 (Ireland) August 11, 2023 (United Kingdom)",80 minutes [ 274 ]
2023,Rakudai Majo: Fūka to Yami no Majo,Japan,Takayuki Hamana,Production I.G,Traditional,[ 275 ] [ 276 ] [ 277 ] [ 278 ] [ 279 ],"March 31, 2023",59 minutes
2023,Rally Road Racers,United Kingdom United States United Arab Emirates,Ross Venokur,Kintop Pictures REP Productions 6 Ltd Riverstone Pictures Vanguard Animation,CG animation,[ 280 ] [ 281 ],"May 12, 2023 (United States) September 15, 2023 (United Kingdom)",93 minutes
2023,Rascal Does Not Dream of a Knapsack Kid,Japan,Sōichi Masui,CloverWorks,Traditional,[ 282 ],"December 1, 2023",75 minutes
2023,Rascal Does Not Dream of a Sister Venturing Out,Japan,Sōichi Masui,CloverWorks,Traditional,[ 283 ],"June 23, 2023",73 minutes
2023,Ready Jet Go!: Space Camp,United States,Mucci Fassett,Silver Creek Falls Entertainment Universal Pictures Home Entertainment,CG animation,[ 284 ] [ 285 ],"July 20, 2023",85 minutes
2023,Resident Evil: Death Island,Japan,Eiichirō Hasumi,TMS Entertainment Quebico,CG animation,[ 286 ],"June 22, 2023 (Singapore) [ 287 ] July 7, 2023 (Japan) [ 288 ] July 25, 2023 (Blu-ray & Digital) [ 289 ]",91 minutes [ 290 ]
2023,Richard the Stork and the Mystery of the Great Jewel,Germany Belgium Norway,Benjamin Quabeck Mette Tange,Den Siste Skilling Knudsen & Streuber Medienmanufaktur Walking The Dog,CG animation,[ 291 ],"March 23, 2023 (Germany) April 12, 2023 (Norway)",84 minutes
2023,Robot Dreams,Spain France,Pablo Berger,Arcadia Motion Pictures Noodles Production Les Films du Worso RTVE Movistar Plus+ [ 292 ],Traditional,[ 293 ],"May 21, 2023 ( Cannes ) June 12, 2023 ( Annecy ) December 6, 2023 (Spain) December 27, 2023 (France)",102 minutes
2023,Rock Dog 3: Battle the Beat,United States China,Anthony Bell,Lionsgate Splash Entertainment HB Wink Animation,CG animation,[ 294 ] [ 295 ],"January 24, 2023",90 minutes
2023,Rocket Saves the Day,United States,Amanda Strong,Atomic Cartoons,Flash animation,[ 296 ],"December 26, 2023",45 minutes
2023,Rosa and the Stone Troll Roselil og stentrolden,Denmark,Karla Nor Holmbäck,A. Film Production Dansk Tegnefilm Nordisk Film & TV-Fond The Danish Film Institute Archive,Flash animation,[ citation needed ],"February 9, 2023",75 minutes
2023,"Ruby Gillman, Teenage Kraken",United States,Kirk DeMicco,Universal Pictures DreamWorks Animation,CG animation,[ 297 ] [ 298 ],"June 15, 2023 ( Annecy ) June 30, 2023 (United States)",91 minutes [ 299 ]
2023,Ruslan and Ludmila. More than a Fairy Tale,Russia,Alexey Zamyslov Vladimir Nikolaev Alexey Tsitsylin,Voronezh Animation Studio CTB Film Company,CG animation,[ 300 ],"August 24, 2023 (Russia) [ 301 ]",95 minutes
2023,Sand Land,Japan,Toshihisa Yokoshima,Sunrise Anima Kamikaze Douga,Traditional,[ 302 ],"August 18, 2023",106 minutes
2023,Sasaki and Miyano: Graduation,Japan,Shinji Ishihira,Studio Deen,Traditional,[ 303 ] [ 304 ] [ 305 ] [ 306 ],"February 17, 2023",59 minutes [ 307 ]
2023,Scarygirl,Australia,Ricard Cussó Tania Vincent,Highly Spirited Passion Pictures Australia Particular Crowd Like A Photon Creative,CG animation,[ 308 ] [ 309 ] [ 310 ],"June 17, 2023 ( Sydney Film Festival ) October 26, 2023 (Australia)",90 minutes
2023,"Scooby-Doo! and Krypto, Too!",United States,Cecilia Aranovich Hamilton,Warner Bros. Animation DC Entertainment,Traditional,[ 311 ] [ 312 ] [ 313 ],"September 26, 2023",76 minutes
2023,The Seven Deadly Sins: Grudge of Edinburgh Part 2,Japan,Noriyuki Abe [ a ] Bob Shirahata,Alfred Imageworks Marvy Jack,Traditional,[ 314 ] [ 315 ] [ 316 ],"August 8, 2023",54 minutes
2023,The Siren La Sirène,France Germany Luxembourg Belgium,Sepideh Farsi,Les Films d'Ici Katuh Studio Bac Cinéma Lunanime TrickStudio Lutterbeck,CG animation,[ 317 ],"February 16, 2023 ( Berlin ) June 28, 2023 (France)",100 minutes
2023,Sirocco and the Kingdom of Winds Sirocco et le royaume des courants d'air,Belgium France,Benoît Chieux,Sacrebleu Productions Take Five Ciel de Paris Production,Traditional,[ 318 ],"June 11, 2023 ( Annecy ) December 13, 2023 (France & Belgium)",74 minutes
2023,The Snow Queen & the Princess,Russia,Aleksey Tsitsilin Andrey Korenkov,Wizart Animation,CG animation,[ 319 ] [ 320 ],"February 16, 2023 (Russia)",80 minutes
2023,Spider-Man: Across the Spider-Verse,United States,Joaquim Dos Santos Kemp Powers Justin K. Thompson,Columbia Pictures Sony Pictures Animation Marvel Entertainment,CG animation,[ 321 ] [ 322 ] [ 323 ] [ 324 ],"May 30, 2023 ( Regency Village Theater ) June 2, 2023 (United States)",140 minutes [ 325 ]
