Year,Title,Country,Director,Studio,Animation technique,Notes,Type,Release date,Duration
2017,Alpha and Omega: Journey to Bear Kingdom,United States India,Richard Rich,Lionsgate Crest Animation Productions,CGI animation,,,"May 9, 2017",44 minutes
2017,Ana and Bruno Ana y Bruno,Mexico,Carlos Carrera,Lo Coloco Films Anima Estudios,CGI animation,[ 1 ],,"June 12, 2017 ( Annecy ) August 31, 2018",96 minutes
2017,Ancien and the Magic Tablet Hirune Hime: Shiranai Watashi no Monogatari,Japan,Kenji Kamiyama,Signal.MD,Traditional,[ 2 ],,"March 18, 2017 (Japan) March 18, 2017 (New York International Children's Film Festival) [ 3 ] August 16, 2017 (United Kingdom & Ireland) [ 4 ] June 1, 2017 (Singapore) July 28, 2017 (Malaysia) [ 5 ] August 18, 2017 (United Kingdom) [ 6 ]",111 minutes
2017,Anchors Up Elias og Storegaps Hemmelighet [ citation needed ],Norway,Simen Alsvik Karsten Fullu,Animando Steamheads Studios,CGI animation,[ 7 ],,"October 6, 2017",75 minutes
2017,The Angel in the Clock El ángel en el reloj [ citation needed ],Mexico,Miguel Ángel Uriegas,Fotosintesis Media,Traditional,[ 8 ],,"October 22, 2017 (Morelia Film Festival) May 25, 2018 (Mexico)",91 minutes 80 minutes (South Korea)
2017,Animal Crackers,United States Spain China,Scott Christian Sava Dean Lorey Tony Bancroft,Blue Dream Studios China Film Group Corporation,CGI animation,[ 9 ],,"June 12, 2017 ( Annecy ) July 21, 2018 (China) July 24, 2020 (United States)",105 minutes
2017,Go! Anpanman: Bulbul's Big Treasure Hunt Adventure ja:それいけ!アンパンマン ブルブルの宝探し大冒険!,Japan,Hiroyuki Yano,"Anpanman Production Committee, TMS Entertainment",Traditional,,,"July 1, 2017",62 minutes
2017,Baba Yaga. Inception Баба Яга. Начало,Russia,Vladimir Sakov,Art Pictures Studio Glukoza Production Films based on Baba Yaga,Traditional,[ 10 ],,"November 8, 2018",63 minutes
2017,Backkom Bear: Agent 008,China,Li Qingfang,Alpha Pictures Harbin Pinge Media Pinngo RG Animation Studios,CGI animation,[ 11 ],,"January 13, 2017 (China) May 3, 2017 (South Korea)",86 minutes
2017,Barbaricina History,Russia,Yuriy Mamontov,Slyers Animation Studios,CGI animation,[ 12 ],,"April 13, 2017",60 minutes
2017,Barbie: Video Game Hero,United States,Conrad Helten & Zeke Norton,Universal Studios Arc Productions Rainmaker Studios,CGI animation,,,"January 31, 2017 (DVD) March 26, 2017 ( Nickelodeon )",72 minutes
2017,Barbie: Dolphin Magic,Canada,Conrad Helten,Universal Studios Arc Productions Rainmaker Studios,CGI animation,,,"September 18, 2017 ( Netflix )",61 minutes
