Year,Title,Country,Director,Studio,Animation technique,Notes,Type,Release date,Duration
2017,Barkley,Taiwan,Li Wei Chiu,Barkley the Cat Beijing Taihe Universal Film Investment Realma DigiMedia Studio2 Animation Lab,CGI animation,,,"November 18, 2017 ( Taipei Golden Horse Film Festival ) December 29, 2017 (Taiwan)",88 minutes
2017,Batman and Harley Quinn,United States,Sam Liu,Warner Bros. Animation DC Entertainment,Traditional,[ 13 ],,"July 21, 2017 ( San Diego Comic-Con ) August 14, 2017",74 minutes
2017,Batman vs. Two-Face,United States,Rick Morales,Warner Bros. Animation DC Entertainment,Traditional,,,"October 8, 2017 ( New York Comic Con ) [ 14 ] October 10, 2017 [ 15 ]",72 minutes
2017,Battle of Persian Gulf II,Iran,Farhad Azima,Fatima Zahra Animation Studios,CGI animation,[ 16 ] [ 17 ] [ 18 ] [ 19 ],,"February 18, 2017",80 minutes [ 20 ]
2017,Beasts of Burden [ citation needed ],China New Zealand,Kirby Atkins,China Film Animation Huhu Studios,CGI animation,[ 21 ] [ 22 ] [ 23 ],,,
2017,The Big Bad Fox and Other Tales... Le Grand Méchant Renard et autres contes ... [ citation needed ],France,Benjamin Renner Patrick Imbert,Folivari Panique! Production,Traditional Flash animation,[ 24 ],,"June 15, 2017 ( Annecy ) June 21, 2017 (France)",83 minutes
2017,Birds Like Us Ptice kao mi [ citation needed ],Bosnia and Herzegovina Turkey United Kingdom Qatar,Faruk Šabanović Amela Ćuhara,PrimeTime Turkish Radio,CGI animation,[ 25 ],,"May 5, 2017 ( Stuttgart ) August 16, 2017 ( Sarajevo ) November 30, 2017 ( Doha ) October 16, 2018 ( Turkey ) January 25, 2022 ( United States )",84 minutes
2017,Black Butler: Book of the Atlantic,Japan,Noriyuki Abe,A-1 Pictures,Traditional,[ 26 ],,"January 21, 2017",100 minutes [ 27 ]
2017,Blame!,Japan,Hiroyuki Seshita,Polygon Pictures,CGI animation,[ 28 ],,"May 20, 2017",106 minutes
2017,Bob the Builder: Mega Machines,United Kingdom,Chris Parker James Mason,HIT Entertainment,CGI animation,,,"May 27, 2017",63 minutes
2017,Boonie Bears: Entangled Worlds,China,Ding Liang,Le vision pictures,CGI animation,[ 29 ],,28 January 2017,89 minutes [ 30 ]
2017,The Boss Baby,United States,Tom McGrath,DreamWorks Animation,CGI animation,[ 31 ] [ 32 ],,"March 12, 2017 ( Miami ) March 31, 2017 (United States)",97 minutes [ 33 ]
2017,The Breadwinner,Ireland Canada Luxemburg,Nora Twomey,Cartoon Saloon Aircraft Pictures,Traditional,[ 34 ],,"September 8, 2017 ( TIFF ) November 17, 2017 ( United States )",94 minutes
2017,Bunyan and Babe,United States India,Tony Bancroft,Exodus Film Group Toonz Entertainment,CGI animation,[ 35 ] [ 36 ],,"January 12, 2017",84 minutes [ 37 ]
2017,Captain Underpants: The First Epic Movie,United States,David Soren,DreamWorks Animation,CGI animation,[ 38 ],,"May 21, 2017 ( Regency Village Theater ) June 2, 2017 (United States)",88 minutes [ 39 ]
2017,CarGo,United States,James Cullen Bressack,The Asylum,CGI animation,,,"June 6, 2017",96 minutes
2017,Cars 3,United States,Brian Fee,Pixar,CGI animation,[ 40 ],,"May 23, 2017 ( Kannapolis ) June 16, 2017 (United States)",102 minutes
2017,Chain Chronicle Light of Haecceitas: Part 2,Japan,Masashi Kudō,Telecom Animation Film Graphinica,Traditional,[ 41 ],,"January 14, 2017",89 minutes
2017,Chain Chronicle Light of Haecceitas: Part 3,Japan,Masashi Kudō,Telecom Animation Film Graphinica,Traditional,[ 42 ],,"February 11, 2017",93 minutes
2017,Cinderella the Cat Gatta Cenerentola,Italy,Alessandro Rak Ivan Cappiello Marino Guarnieri Dario Sansone,Mad Entertainment,CGI animation,[ 43 ],,"September 6, 2017 ( Venice ) September 14, 2017 (Italy)",86 minutes
2017,Coco,United States,Lee Unkrich,Pixar,CGI animation,[ 44 ],,"October 20, 2017 ( Morelia ) [ 45 ] November 22, 2017 (United States)",105 minutes [ 46 ]
2017,Code Geass Lelouch of the Rebellion: Awakening Path,Japan,Gorō Taniguchi,Sunrise,Traditional,[ 47 ],,"October 21, 2017",135 minutes
2017,Condorito: la película,Chile Peru,Alex Orrelle Eduardo Schuldt,"Aronnax Animation Studios Pajarraco Films, LCC",CGI animation,[ 48 ] [ 49 ],,"October 12, 2017 (Latin America) January 12, 2018 (United States)",88 minutes
2017,Crayon Shin-chan: Invasion!! Alien Shiriri,Japan,Masakazu Hashimoto,Toho,Traditional,[ 50 ],,"April 17, 2017",103 minutes
2017,Da Hu Fa [ citation needed ],China,Zhigang Yang (Busifan),Beijing Enlight Media Co. Horgos Coloroom Pictures Tianjin Niceboat Culture Communication,Traditional,[ 51 ],,"July 13, 2017",95 minutes
2017,Detective Conan: Crimson Love Letter,Japan,Kobun Shizuno,Toho,Traditional,[ 52 ],,"April 15, 2017",112 minutes
2017,Deep,Spain Belgium Switzerland,Julio Soto Gurpide,The Thinklab Grid Animation Kraken Films,CGI animation,[ citation needed ] [ 53 ] [ 54 ],,"August 25, 2017",92 minutes
2017,Despicable Me 3,United States,"Pierre Coffin , Kyle Balda",Illumination Entertainment,CGI animation,[ 55 ],,"June 14, 2017 ( Annecy ) June 30, 2017 (United States)",90 minutes [ 56 ]
2017,DC Super Hero Girls: Intergalactic Games,United States,Cecilia Aranovich,Warner Bros. Animation DC Entertainment,Traditional,[ 57 ] [ 58 ],,"May 9, 2017 (Digital) [ 59 ] May 23, 2017 (DVD) [ 60 ]",77 minutes
2017,Digimon Adventure tri. Loss,Japan,Keitaro Motonaga,Toei Animation,Traditional,[ 61 ],,"February 25, 2017",78 minutes (Part 4) [ 62 ]
2017,Digimon Adventure tri. Symbiosis,Japan,Keitaro Motonaga,Toei Animation,Traditional,[ 63 ],,"September 30, 2017",85 minutes (Part 5) [ 64 ]
2017,Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi,Japan,Atsushi Takahashi,Toho,Traditional,[ 65 ],,"March 4, 2017",101 Minutes
2017,Doru [ citation needed ],Turkey,Can Soysal,Anibera Animation Studios,CGI animation,[ 66 ],,"July 7, 2017",91 minutes
2017,Eureka Seven: Hi-Evolution 1,Japan,Tomoki Kyoda,Bones,Traditional,[ 67 ],,"September 16, 2017 (Part 1)",92 minutes
2017,The Elephant King [ citation needed ],Iran Lebanon,Hadi Mohammadian,Honarpooya Group,CGI animation,[ 68 ],,"May 1, 2017",80 minutes
2017,The Emoji Movie,United States,Tony Leondis,Sony Pictures Animation,CGI animation,[ 69 ] [ 70 ] [ 71 ],,"July 23, 2017 ( Regency Village Theatre ) July 28, 2017 (United States)",86 minutes [ 72 ]
2017,Fairy Tail: Dragon Cry,Japan,Tatsuma Minamikawa,A-1 Pictures,Traditional,,,"May 6, 2017",85 minutes
2017,Fantastic Journey to OZ Урфин Джюс и его деревянные солдаты,Russia,Vladimir Toropchin,Melnitsa Animation Studio [1],CGI animation,[ 73 ],,"April 20, 2017",75 minutes
2017,Fate/kaleid liner Prisma Illya: Vow in the Snow,Japan,Shin Oonuma,Kadokawa Animation Silver Link,Traditional,[ 74 ] [ 75 ] [ 76 ] [ 77 ] [ 78 ] [ 79 ] [ 80 ],,"August 26, 2017",90 minutes
2017,Fate/stay night: Heaven's Feel I. Presage Flower,Japan,Tomonori Sudou,Ufotable,Traditional,[ 81 ],,"October 14, 2017",120 minutes
2017,Ferdinand,United States,Carlos Saldanha,20th Century Fox 20th Century Fox Animation Blue Sky Studios,CGI animation,[ 82 ],,"December 10, 2017 ( Los Angeles ) December 15, 2017 (United States)",108 minutes [ 83 ]
2017,"Fireworks Uchiage hanabi, shita kara miru ka? Yoko kara miru ka? [ citation needed ]",Japan,Akiyuki Shinbo Nobuyuki Takeuchi,Shaft,Traditional,[ 84 ],,"August 18, 2017",90 minutes [ 85 ]
2017,The Fixies: Top Secret Фиксики: Большой секрет,Russia,Vasiko Bedoshvili Andrey Kolpin,Petersburg Animation Studio Aeroplane Productions,CGI animation,[ 86 ] [ citation needed ],,"October 28, 2017",80 minutes
2017,Free! Timeless Medley,Japan,Eisaku Kawanami,Kyoto Animation Animation Do,Traditional,[ 87 ],,"April 22, 2017",95 minutes
2017,Free! Timeless Medley: Part 2,Japan,Eisaku Kawanami,Kyoto Animation Animation Do,Traditional,[ 87 ],,"July 1, 2017",98 minutes
2017,Free! -Take Your Marks!-,Japan,Eisaku Kawanami,Kyoto Animation Animation Do,Traditional,[ 87 ],,"October 28, 2017",100 minutes
2017,GadgetGang in Outer Space BugiGangue no Espaço,Brazil United States India Hungary,Ale McHaddo,44 Toons! Studio56,CGI animation,[ 88 ] [ 89 ] [ 90 ],,"February 23, 2017 (Brazil) July 4, 2017 (United States)",80 minutes [ 91 ]
2017,Genocidal Organ,Japan,Shukō Murase,Manglobe Geno Studio,Traditional,[ 92 ] [ 93 ] [ 94 ],,"February 3, 2017",115 minutes
2017,"Gekijōban Haikara-san ga Tōru Zenpen – Benio, Hana no 17-sai",Japan,Kazuhiro Furuhashi,Nippon Animation,Traditional,[ 95 ],,"November 11, 2017",97 minutes
2017,GG Bond: Guarding,China,Lu Jinming Zhong Yu,Le vision pictures,CGI animation,[ 96 ],,"January 7, 2017",91 minutes [ citation needed ]
2017,Girls und Panzer das Finale: Part 1,Japan,Tsutomu Mizushima,Actas,Traditional,[ 97 ],,"December 9, 2017",47 minutes
2017,Gnome Alone,United States Canada,Peter Lepeniotis,3QU Media Cinesite Vanguard Animation,CGI animation,[ 98 ],,"November 2, 2017 (Greece and Cyprus) [ 99 ]",85 minutes
2017,Godzilla: Planet of the Monsters,Japan,Kobun Shizuno Hiroyuki Seshita,Polygon Pictures,Traditional,[ 100 ],,"November 17, 2017",88 minutes [ 101 ]
2017,Gordon & Paddy Gordon och Paddy [ citation needed ],Sweden,Linda Hambäck,Film i Väst Lee Film,Traditional,[ 102 ],,"December 22, 2017 (Sweden) February 12, 2018 ( Berlinale )",62 minutes
2017,Hanuman Da' Damdaar,India,Ruchi Narain,R.A.T Films Percept Picture Company,Traditional,[ 103 ],,"June 2, 2017",105 minutes
2017,Harvie and the Magic Museum Гурвинек: Волшебная игра Hurvínek a kouzelné muzeum,Russia Czech Republic Belgium,Martin Kotík Inna Evlannikova,KinoAtis Rolling Pictures Grid Animation,CGI animation,[ 104 ],,"August 31, 2017",86 minutes [ 105 ]
2017,Have a Nice Day Hao ji le [ citation needed ],China,Liu Jian,Flagship Entertainment Group Le-Joy Animation Studio,Traditional,[ 106 ],,"February 17, 2017 ( Berlin )",75 minutes
2017,Hey Arnold!: The Jungle Movie,United States,Raymie Muzquiz Stu Livington,"Snee-Oosh, Inc. Nickelodeon Animation Studio",Traditional,,,"November 24, 2017",81 minutes
2017,Howard Lovecraft and the Undersea Kingdom,Canada,Sean Patrick O'Reilly,Arcana Studio,CGI animation,[ 107 ] [ 108 ] [ 109 ],,"October 1, 2017",89 minutes
2017,I'll Just Live in Bando 반도에 살어리랏다 (Ban-do-e Sal-eo-li-lat-da) [ citation needed ],South Korea,Lee Young-sun,AniSEED,Traditional,[ 110 ],,"June 12, 2017 (Annecy International Animation Film Festival) July 16, 2017 (BiFan - Bucheon International Fantastic Film Festival)",85 minutes
2017,The Incredible Story of the Giant Pear Den utrolige historie om den kæmpestore pære [ citation needed ],Denmark,Philip Einstein Lipski Jørgen Lerdam Amalie Næsby Fick,Level K,CGI animation,[ 111 ],,"October 12, 2017",78 minutes
2017,The Jetsons & WWE: Robo-WrestleMania!,United States,Anthony Bell,Warner Bros. Animation Hanna-Barbera WWE Studios,Traditional,[ 112 ],,"February 28, 2017 (Digital) March 14, 2017 (DVD)",82 minutes
2017,The Jungle Bunch Les As de la jungle [ citation needed ],France,David Alaux,TAT Productions SND Groupe M6,CGI animation,[ 113 ],,"June 13, 2017 (Annecy International Animation Film Festival) July 26, 2017 (France)",90 minutes
2017,Journey Beyond Sodor,United Kingdom,David Stoten,HiT Entertainment Mattel Creations,CGI animation,,,"June 23, 2017 (Canada) August 22, 2017 (United States) October 16, 2017 (United Kingdom)",73 minutes
2017,Justice League Dark,United States,Jay Oliva,Warner Bros. Animation DC Entertainment,Traditional,[ 114 ],,"January 24, 2017 (digital) February 7, 2017 (DVD and Blu-ray release)",75 minutes
2017,Kabaneri of the Iron Fortress (part 2),Japan,Tetsurō Araki,Wit Studio,Traditional,[ 115 ] [ 116 ],,"January 7, 2017",104 minutes [ 117 ]
2017,Kikoriki. Legend of the Golden Dragon Смешарики. Легенда о золотом драконе,Russia,Denis Chernov,Petersburg Animation Studio,CGI animation,,,"March 17, 2017",79 minutes
2017,Kizumonogatari III: Reiketsu-hen,Japan,Akiyuki Shinbo Tatsuya Oishi,Shaft,Traditional,[ 118 ],,"January 6, 2017",83 minutes [ 119 ]
2017,Knight Rusty 2: Full Metal Racket Ritter Rost 2: Das Schrottkomplott,Germany,Thomas Bodenstein Marcus Hamann,,CGI animation,,,"January 19, 2017",87 minutes
2017,The Kuflis hu:Egy kupac kufli [ citation needed ],Hungary,Kristóf Jurik Szabolcs Pálfi Géza M. Tóth,KEDD Animation Studio,2D animation,[ 120 ],,"August 17, 2017",71 minutes
2017,Kuroko's Basketball The Movie: Last Game,Japan,Shunsuke Tada,Production I.G,Traditional,[ 121 ],,"March 18, 2017",90 minutes
2017,The Legend of King Solomon hu:Salamon király kalandjai [ citation needed ],Hungary Israel,Albert Hanan Kaminski,Cinemon Entertainment Eden Productions,Traditional,[ 122 ],,"September 28, 2017",80 minutes
2017,The Lego Batman Movie,United States Denmark,Chris McKay,Warner Animation Group DC Entertainment The Lego Group,CGI animation,[ 123 ],,"January 29, 2017 ( Dublin ) [ 124 ] February 9, 2017 (Denmark) February 10, 2017 (United States) March 30, 2017 (Australia)",104 minutes [ 125 ]
2017,The Lego Ninjago Movie,United States Denmark,Charlie Bean,Warner Animation Group The Lego Group,CGI animation,[ 126 ] [ 127 ],,"September 16, 2017 ( Regency Village Theater ) September 21, 2017 (Denmark) United States (United States)",101 minutes [ 128 ]
2017,Lego Scooby-Doo! Blowout Beach Bash,United States,Ethan Spaulding,Warner Bros Animation Hanna Barbera The Lego Group,CGI animation,,Direct-to-video,"July 11, 2017 (digital) July 25, 2017 (DVD and Blu-ray)",78 minutes
2017,Lila's Book El libro de Lila,Colombia,Marcela Rincon,Fosfenos Media Palero Estudio,Traditional Flash animation,[ 129 ],,"September 21, 2017 ( Sala Zitarrosa ) September 28, 2017 (Colombia)",76 minutes
2017,Lino: An Adventure of Nine Lives br:Lino: Uma Aventura de Sete Vidas [ citation needed ],Brazil,Rafael Ribas,Start Desenhos Animados,CGI animation,[ 130 ],,"September 7, 2017",94 minutes
2017,Little Heroes Pequeños héroes [ citation needed ],Venezuela,Juan Pablo Buscarini,Orinoco Films Fundación Villa del Cine,CGI animation,[ 131 ],,"May 6, 2017 (Golden Kuker Sofia) June 12, 2017 (Annecy International Animation Film Festival)",76 minutes
2017,The Little Vampire 3D Der kleine Vampir [ citation needed ],Netherlands Germany Denmark,Richard Claus Karsten Kiilerich,Ambient Entertainment,CGI animation,[ 132 ],,"October 5, 2017",82 minutes [ 133 ]
2017,Loving Vincent,Poland United Kingdom,Dorota Kobiela Hugh Welchman,Trademark Films Breakthru Films,Oil-painted / Traditional,[ 134 ] [ 135 ],,"June 12, 2017 ( Annecy ) [ 136 ] September 22, 2017 (United States) October 6, 2017 (Poland) [ 137 ] October 13, 2017 (United Kingdom) [ 138 ]",95 minutes [ 139 ]
2017,Lu Over the Wall Yoake Tsugeru Lu no Uta [ citation needed ],Japan,Masaaki Yuasa,Science SARU,Traditional Flash animation,[ 140 ],,"May 19, 2017",112 minutes [ 141 ]
2017,Lupin the Third: Goemon Ishikawa's Spray of Blood,Japan,Takeshi Koike,Telecom Animation Film,Traditional,[ 142 ],,"February 4, 2017",54 minutes
2017,Magical Girl Lyrical Nanoha Reflection,Japan,Takayuki Hamana,Seven Arcs,Traditional,[ 143 ],,"July 22, 2017",111 minutes
2017,Mary and the Witch's Flower Meari to Majo no Hana,Japan,Hiromasa Yonebayashi,Studio Ponoc,Traditional,[ 144 ],,"July 8, 2017",103 minutes [ 133 ]
2017,Mazinger Z: Infinity,Japan,Junji Shimizu,Toei Animation,Traditional,[ 145 ],,"October 27, 2017",95 minutes
2017,Mission Kathmandu: The Adventures of Nelly & Simon Nelly et Simon: Mission Yéti [ citation needed ],Canada,Pierre Greco Nancy Florence Savard,Productions 10e Ave Seville Films,CGI animation,[ 146 ] [ 147 ] [ 148 ],,"October 5, 2017 (FIFF) February 23, 2018 ( Québec )",85 minutes
2017,Monster Family,Germany United Kingdom,Holger Tappe,Ambient Entertainment GmbH United Entertainment Mack Media Agir Timeless Films Rothkirch Cartoon Film Sky Cinema Original Films VideoBack,CGI animation,[ 149 ],,"August 24, 2017 (Germany) March 2, 2018 (United Kingdom)",96 minutes
2017,Monster Island Isla Calaca [ citation needed ],Mexico,Leopoldo Aguilar,Anima Estudios,CGI animation,[ 150 ],,"September 14, 2017 ( Mexico ) February 20, 2021 ( Spain )",80 minutes [ 151 ]
2017,Moomins and the Winter Wonderland Muumien taikatalvi [ citation needed ],Finland Poland,Ira Carpelan Jakub Wronski,Filmcompaniet,Traditional,[ 152 ],,"December 1, 2017",82 minutes
2017,Mariah Carey's All I Want for Christmas Is You,United States,Guy Vasilovich,Universal 1440 Entertainment Splash Entertainment Magic Carpet Productions Universal Animation Studios,CGI animation,,,"November 13, 2017",91 minutes
2017,Mutafukaz [ fr ] [ citation needed ],France Japan,Guillaume Renard Shōjirō Nishimi,Ankama Animations Studio 4°C,Traditional,[ 153 ],,"June 13, 2017 ( Annecy Festival ) May 23, 2018 (France) October 12, 2018 (Japan)",93 minutes [ 154 ]
2017,My Little Pony: The Movie,United States Canada,Jayson Thiessen,Allspark Pictures DHX Media,Traditional Flash animation,[ 155 ] [ 156 ],,"September 24, 2017 (New York City) [ 157 ] October 6, 2017 (United States and Canada) [ 158 ]",99 minutes [ 159 ]
2017,Next Door Spy Nabospionen [ citation needed ],Denmark,Karla von Bengtson,Copenhagen Bombay TriCoast Entertainment,Flash animation,[ 160 ],,"August 10, 2017",77 minutes
2017,"The Night Is Short, Walk on Girl Yoru wa Mijikashi Aruke yo Otome [ citation needed ]",Japan,Masaaki Yuasa,Science SARU,Traditional Flash animation,[ 161 ],,"April 7, 2017",93 minutes
2017,The Nut Job 2: Nutty by Nature,United States Canada South Korea,Cal Brunker,"ToonBox Entertainment Redrover Co., Ltd. Gulfstream Pictures",CGI animation,[ 162 ],,"August 11, 2017",91 minutes [ 163 ]
2017,Nur and the Dragon Temple Nur y el templo del dragón,Spain,Juan Bautista Berasategi,Lotura Films,Flash animation,,,"June 2, 2017",64 minutes
2017,On Happiness Road Xing Fu Lu Shang [ citation needed ],Taiwan,Hsin Yin Sung,Happiness Road Productions,Traditional,[ 164 ],,"October 15, 2017 ( BIFF ) January 5, 2018 (Taiwan)",110 minutes
2017,Overlord: The Dark Warrior,Japan,Naoyuki Itō,Madhouse,Traditional,[ 165 ],,"February 25, 2017 (Part 1)",117 minutes (Part 1) [ 166 ]
2017,Overlord: The Undead King,Japan,Naoyuki Itō,Madhouse,Traditional,[ 165 ],,"March 11, 2017 (Part 2)",108 minutes (Part 2) [ 167 ]
2017,The Ox [ citation needed ],Greece,Giorgos Nikopoulos,Baubo Productions,Traditional,[ 168 ],,"November 9, 2017 ( TIFF )",67 minutes
2017,Paddington 2,"United Kingdom, France",Paul King,StudioCanal,Live-action/CGI,,,10 November 2017,104 minutes
2017,Peppa Pig: My First Cinema Experience,United Kingdom,Mark Baker Iwan Watson,Astley Baker Davies Ltd Entertainment One,Flash animation,,,"April 7, 2017",72 minutes
2017,"Pipi, Pupu & Rosemary: the Mystery of the Stolen Notes Pipì Pupù e Rosmarina in Il Mistero delle Note Rapite [ citation needed ]",Italy,Enzo D'Alò,Bolero Film,Flash animation,[ 169 ],,"November 16, 2017",81 minutes
2017,Pokémon the Movie: I Choose You!,Japan,Kunihiko Yuyama,OLM,Traditional,,,"July 6, 2017 ( Japan Expo ) July 15, 2017 (Japan)",97 minutes
2017,"Pororo, Dinosaur Island Adventure 뽀로로 극장판 공룡섬 대모험",South Korea,Kim Hyun-ho Yoon Je-wan,,CGI animation,,,"December 7, 2017",78 minutes
2017,Pretty Cure Dream Stars!,Japan,Hiroshi Miyamoto,Toei Animation,Traditional,[ 170 ],,"March 18, 2017",71 minutes
2017,Rabbit School: Guardians of the Golden Egg Die Häschenscule – Jagd nach dem Goldenen Ei,Germany,Ute von Münchow-Pohl [ fr ],Akkord Film Produktion GmbH,CGI animation,[ 171 ] [ 172 ],,"March 16, 2017",76 minutes [ 173 ]
2017,Release From Heaven [ citation needed ],Iran,Ali Noori-Oskouei,"Eshragh Animation, Stunning Media",Traditional,[ 174 ],,"February 1, 2017 (Fajr Film Festival) September 22, 2017 (Isfahan International Festival of Films for Children & Young Adults)",76 minutes
2017,Resident Evil: Vendetta,Japan,Takanori Tsujimoto,Sony Pictures Entertainment Japan Marza Animation Planet,CGI animation,[ 175 ],,"May 27, 2017",97 minutes
2017,Richard the Stork A Stork's Journey,Germany Luxembourg Norway Belgium,Toby Genkel Reza Memari,Knudsen & Streuber Medienmanufaktur Ulysses Filmproduktion Melusine Productions Den Siste Skilling Walking The Dog,CGI animation,[ 176 ],,"February 12, 2017 ( BIFF ) May 5, 2017 (Norway) June 30, 2017 ( United States ) May 11, 2017 (Germany) February 7, 2018 (France)",85 minutes
2017,Sahara [ citation needed ],France Canada,Pierre Coré,La Station Animation Mandarin Production Transfilm International,CGI animation,[ 177 ],,"January 18, 2017 (L'Alpe d'Huez Film Festival) May 12, 2017 (Netflix)",84 minutes
2017,Seitokai Yakuindomo: The Movie,Japan,Hiromitsu Kanazawa,GoHands,Traditional,[ 178 ],,"July 21, 2017",60 minutes
2017,The Shower 소나기 ( So-na-gi ),South Korea,Jae-hoon Ahn,Meditation With a Pencil EBS,Traditional,[ 179 ],,"August 31, 2017",48 minutes
2017,Si Juki the Movie,Indonesia,Faza Meonk,Falcon Pictures,Traditional,[ 180 ],,"December 28, 2017",110 minutes
2017,Shimajiro and the Rainbow Oasis,Japan,Isamu Hirabayashi,"Benesse The Answer Studio Co., Ltd.",Traditional/Live-action,[ 181 ],,"March 10, 2017",71 minutes
2017,Smurfs: The Lost Village,United States,Kelly Asbury,Sony Pictures Animation,CGI animation,[ 182 ],,"April 5, 2017 ( Belgium and Asia ) April 7, 2017 (United States)",90 minutes [ 183 ]
2017,The Son of Bigfoot Bigfoot Junior,Belgium France,Jeremy Degruson Ben Stassen,NWave Pictures,CGI animation,,,"August 16, 2017 (France) [ 184 ] February 16, 2018 (United States)",92 minutes
2017,Sound! Euphonium: The Movie – May the Melody Reach You!,Japan,Taichi Ogawa,Kyoto Animation,Traditional,[ 185 ],,"September 30, 2017",105 minutes
2017,Space Battleship Yamato 2202: Warriors of Love,Japan,Nobuyoshi Habara,Xebec,Traditional,[ 186 ],,"February 25, 2017",
2017,Scooby-Doo! Shaggy's Showdown,United States,Matt Peters,Warner Bros. Animation Hanna-Barbera,Traditional,[ 187 ],,"January 31, 2017",80 minutes [ 188 ]
2017,The Star [ citation needed ],United States,Timothy Reckart,Sony Pictures Animation,CGI animation,[ 71 ] [ 189 ] [ 190 ] [ 191 ],,"November 12, 2017 ( Regency Village Theater ) November 17, 2017 (United States)",86 minutes [ 192 ]
2017,Surf's Up 2: WaveMania,United States,Henry Yu,Sony Pictures Animation,CGI animation,,,"January 17, 2017",84 minutes [ 193 ]
2017,The Swan Princess: Royally Undercover,United States,Richard Rich,Nest Family Entertainment StreetLight Animation Productions,CGI animation,,,"March 28, 2017",79 minutes
2017,Thomas & Friends : Journey Beyond Sodor,United Kingdom,David Stoten,Hit Entertainment,CGI animation,,,"June 23, 2017 (Canada) August 22, 2017 (United States) October 16, 2017 (United Kingdom)",73 minutes
2017,Sword Art Online The Movie: Ordinal Scale,Japan,Tomohiko Ito,A-1 Pictures,Traditional,[ 194 ],,"February 18, 2017",120 minutes [ 195 ] [ 196 ]
2017,Tad the Lost Explorer and the Secret of King Midas Tadeo Jones 2: El secreto del Rey Midas,Spain,Enrique Gato David Alonso,Lightbox Entertainment Telecinco Cinema Telefónica Studios,CGI animation,[ 197 ],,"June 13, 2017 (Annecy)",85 minutes [ 198 ]
2017,The Shonku Diaries: A Unicorn Adventure,United States India Turkey,Kamal Bansal,Turtle in Motion Studios,CGI animation,[ 199 ],,"June 17, 2017 ( Shanghai International Film Festival ) November 3, 2017 (Turkey) October 4, 2019 (United States) [ 200 ]",92 minutes
2017,The Tale of Peter and Fevronia Сказ о Петре и Февронии,Russia,Yuri Kulakov,Vverh Animation Studio,Traditional,[ 201 ],,2017,85 minutes
2017,Tales from the Lakeside hu:Lengemesék [ citation needed ],Hungary,Zsolt Pálfi,Cinemon Entertainment,Traditional,[ 202 ],,"April 27, 2017",65 minutes
